lesson_number,position_in_lesson,speaker,text,utterance_type,narrator_cue,core_lemmas
12,1,Male Speaker,Ce soir.,VocabularyIntro,"Do you remember how to say, ""This evening""?",
12,2,Male Speaker,Demain soir.,VocabularyIntro,"Say, ""Tomorrow evening.""",
12,3,Male Speaker,À six heures.,VocabularyIntro,"Say, ""At six o'clock.""",
12,4,Female Speaker,Pas plus tard?,PromptedRecall,"Ask, ""Not later?""",
12,5,Male Speaker,À huit heures.,VocabularyIntro,"Say ""At eight o'clock.""",
12,6,Female Speaker,Quelle heure est-il maintenant?,PromptedRecall,"Ask, ""What time it is now?""",
12,7,Male Speaker,Il est dix heures maintenant.,VocabularyIntro,"Tell her, ""It's ten o'clock now.""",
12,8,Female Speaker,"Non, il est quatre heures.",PromptedRecall,"Say, ""No, it's four o'clock.""",
12,9,Male Speaker,Cinq heures.,VocabularyIntro,"Say, ""Five o'clock.""",
12,10,Male Speaker,"À cinq heures, je vais manger.",VocabularyIntro,"Say, ""At five o'clock, I'm going to eat.""",
12,11,Female Speaker,Vous allez manger?,PromptedRecall,"Ask, ""You're going to eat?""",
12,12,Male Speaker,"Oui, avec vous.",VocabularyIntro,"Say, ""Yes, with you.""",
12,13,Male Speaker,Je vais manger avec vous.,VocabularyIntro,"""I'm going to eat with you.""",
12,14,Female Speaker,"Oui, je voudrais aussi manger.",VocabularyIntro,"Say, ""Yes, I would like to eat too.""",
12,15,Male Speaker,Est-ce que vous allez boire du vin?,PromptedRecall,"Ask, ""Are you going to drink wine?""",
12,16,Female Speaker,"Non, je vais boire de la bière.",PromptedRecall,"Say, ""No, I'm going to drink beer.""",
12,17,Male Speaker,Aujourd'hui.,VocabularyIntro,"Say, ""Today.""",
12,18,Male Speaker,Je ne vais pas boire aujourd'hui.,PromptedRecall,"Say, ""I'm not going to drink today.""",
12,19,Female Speaker,Vous n'allez pas boire?,PromptedRecall,"Say, ""You're not going to drink?""",
12,20,Male Speaker,"Non, pas aujourd'hui.",PromptedRecall,"Say, ""No, not today.""",
12,21,Male Speaker,"Aujourd'hui, je vais manger à trois heures.",VocabularyIntro,"Say, ""Today, I'm going to eat at three o'clock.""",
12,22,Male Speaker,Ou à deux heures.,VocabularyIntro,"Say, ""Or at two o'clock.""",
12,23,Male Speaker,D'accord.,VocabularyIntro,"Say, ""Okay.""",
12,24,Male Speaker,Combien?,PromptedRecall,"Here's how to ask, ""How much?"" in French?",
12,25,Male Speaker,Je vous dois combien?,PromptedRecall,"As in English, it would be too abrupt to simply say to someone, ""How much?"" So let's learn a more polite way of asking, ""How much do I owe you?""",
12,26,Male Speaker,Je dois.,VocabularyIntro,"""I owe.""",
12,27,Male Speaker,Je vous dois.,VocabularyIntro,"""I owe you.""",
12,28,Male Speaker,Je vous dois combien?,PromptedRecall,"""How much do I owe you?""",
12,29,Male Speaker,"Je vous dois combien, s'il vous plaît?",PromptedRecall,Ask how much you owe.,
12,30,Female Speaker,Un franc.,VocabularyIntro,"Here's how to say, ""One franc.""",
12,31,Female Speaker,"Un franc, Monsieur.",VocabularyIntro,"Say, ""One franc.""",
12,32,Male Speaker,Je vous dois combien aujourd'hui?,PromptedRecall,"Ask, ""How much do I owe you today?""",
12,33,Male Speaker,Huit francs.,VocabularyIntro,"Answer, ""Eight francs.""",
12,34,Male Speaker,Onze francs.,VocabularyIntro,"Here is how to say ""eleven francs.""",
12,35,Female Speaker,Douze francs.,VocabularyIntro,"Here's how to say ""twelve francs.""",
12,36,Female Speaker,Deux francs.,VocabularyIntro,"Now say ""two francs.""",
12,37,Female Speaker,Treize francs.,VocabularyIntro,"Now, ""Here is thirteen francs.""",
12,38,Female Speaker,Dix francs.,VocabularyIntro,"Say, ""Ten francs.""",
12,39,Male Speaker,Six francs.,VocabularyIntro,"Say, ""Six francs.""",
12,40,Male Speaker,Est-ce que je vous dois cinq francs?,PromptedRecall,"Ask, ""Do I owe you five francs?""",
12,41,Male Speaker,"Non, Madame, quatre francs.",PromptedRecall,"Say, ""No ma'am, four francs.""",
12,42,Male Speaker,Et sept francs?,VocabularyIntro,"Say, ""And seven francs.""",
12,43,Male Speaker,Je vous dois treize francs.,VocabularyIntro,"Say, ""I owe you thirteen francs.""",
12,44,Male Speaker,"Non, pas treize.",PromptedRecall,"Say, ""No, not thirteen.""",
12,45,Male Speaker,Est-ce que je vous dois douze francs?,PromptedRecall,"Ask, ""Do I owe you twelve francs?""",
12,46,Male Speaker,"Non, onze francs.",PromptedRecall,"Say, ""No, eleven francs.""",
12,47,Male Speaker,Est-ce que vous comprenez?,PromptedRecall,"Say, ""Do you understand?""",
12,48,Male Speaker,"Oui, je comprends maintenant.",VocabularyIntro,"Say, ""Yes, I understand now.""",
12,49,Male Speaker,Je vous comprends.,VocabularyIntro,"Try to say, ""I understand you.""",
12,50,Male Speaker,Je vous comprends maintenant.,VocabularyIntro,"Try to say, ""I understand you.""",
12,51,Male Speaker,Un franc.,VocabularyIntro,"Do you remember how to say ""one franc""?",
