lesson_number,position_in_lesson,speaker,text,utterance_type,narrator_cue,core_lemmas
9,1,Male Speaker,"Bonjour, Marie. Comment allez-vous?",ConversationalExchange,,bonjour marie comment aller vous
9,2,Male Speaker,"Dites-moi, Marie, qu'est-ce que vous voulez faire maintenant?",ConversationalExchange,,dire moi marie quoi être vous vouloir faire maintenant
9,3,Male Speaker,"Moi, je voudrais déjeuner maintenant.",ConversationalExchange,,moi vouloir déjeuner maintenant
9,4,Male Speaker,Est-ce que vous voudriez déjeuner avec moi?,ConversationalExchange,,être vous vouloir déjeuner avec moi
9,5,Male Speaker,Où est le restaurant Chez Jacques?,ConversationalExchange,,où être le restaurant chez jacques
9,6,Male Speaker,"Ah oui, je sais.",ConversationalExchange,,ah oui je savoir
9,7,Male Speaker,"Oui, d'accord.",SimpleResponse,,oui d'accord
9,8,Female Speaker,"Bien, Michel, merci.",ConversationalExchange,,bien michel merci
9,9,Female Speaker,"Moi? Oh, je ne sais pas. Et vous?",ConversationalExchange,,moi oh je ne savoir pas et vous
9,10,Female Speaker,"Oui, mais je voudrais déjeuner au restaurant chez Jacques. D'accord?",ConversationalExchange,,oui mais je vouloir déjeuner au restaurant chez jacques d'accord
9,11,Female Speaker,"C'est là-bas, boulevard Saint-Michel.",ConversationalExchange,,être là-bas boulevard saint-michel
9,12,Female Speaker,Et je voudrais aussi boire du vin. D'accord?,ConversationalExchange,,et je vouloir aussi boire du vin d'accord
9,13,Male Speaker,Comment allez-vous?,PromptedRecall,"Now, ask me how I am.",comment aller vous
9,14,Male Speaker,Est-ce que vous comprenez le français?,PromptedRecall,Ask me if I understand French.,être vous comprendre le français
9,15,Female Speaker,Où est la rue Saint-Jacques?,PromptedRecall,Ask me where Saint-Jacques Street is.,où être la rue saint-jacques
9,16,Female Speaker,Est-ce que vous savez où est la rue Saint-Jacques?,PromptedRecall,Do you know where Saint-Jacques Street is?,être vous savoir où être la rue saint-jacques
9,17,Female Speaker,Savez-vous où est la rue Saint-Jacques?,PromptedRecall,,savoir vous où être la rue saint-jacques
9,18,Female Speaker,Pardon?,SimpleResponse,"""Excuse me.""",pardon
9,19,Female Speaker,Dites-moi.,PromptedRecall,"Say, ""Tell me.""",dire moi
9,20,Female Speaker,Où est le restaurant Chez Jacques?,PromptedRecall,"""Where is the restaurant Chez Jacques?""",où être le restaurant chez jacques
9,21,Male Speaker,Je voudrais déjeuner maintenant.,PromptedRecall,Tell me that you'd like to eat lunch now.,je vouloir déjeuner maintenant
9,22,Male Speaker,Je voudrais déjeuner maintenant.,DirectRepetition,,je vouloir déjeuner maintenant
9,23,Male Speaker,Est-ce que vous voudriez aussi déjeuner?,PromptedRecall,Ask me if I would like to eat lunch too.,être vous vouloir aussi déjeuner
9,24,Male Speaker,Est-ce que vous voudriez aussi déjeuner?,DirectRepetition,,être vous vouloir aussi déjeuner
9,25,Female Speaker,"Non, pas moi.",PromptedRecall,"Say, ""No, not me.""",non pas moi
