lesson_number,position_in_lesson,speaker,text,utterance_type,narrator_cue,core_lemmas
17,1,Male Speaker,Trente-trois,VocabularyIntro,How would you say the number thirty-three in French?,
17,2,Female Speaker,Quarante-quatre,VocabularyIntro,How about forty-four?,
17,3,Female Speaker,Vingt-trois,VocabularyIntro,Twenty-three.,
17,4,Male Speaker,Treize,VocabularyIntro,Thirteen.,
17,5,Female Speaker,Trente-sept,VocabularyIntro,Thirty-seven.,
17,6,Female Speaker,Est-ce que vous avez de l'argent?,PromptedRecall,Ask me if I have any money.,
17,7,Male Speaker,Je n'en ai pas,PromptedRecall,"Answer, ""I haven't any.""",
17,8,Female Speaker,"Moi, j'en ai",VocabularyIntro,"Say, ""Me, I've got some.""",
17,9,Female Speaker,J'en ai beaucoup,VocabularyIntro,"""I have a lot.""",
17,10,Female Speaker,Je peux,VocabularyIntro,"How do you say, ""I can""?",
17,11,Female Speaker,Je peux vous donner,VocabularyIntro,"Say, ""I can give you.""",
17,12,Female Speaker,Je peux vous donner de l'argent,VocabularyIntro,"Say, ""I can give you some money.""",
17,13,Female Speaker,Je peux vous en donner,VocabularyIntro,"Say, ""I can give you some.""",
17,14,Male Speaker,D'accord,VocabularyIntro,"Say, ""Agreed.""",
17,15,Male Speaker,Est-ce que vous avez des francs pour moi?,PromptedRecall,"Ask, ""Have you any francs for me?""",
17,16,Female Speaker,"Oui, j'ai assez de francs",VocabularyIntro,"Say, ""Yes, I have enough francs.""",
17,17,Female Speaker,J'en ai assez,VocabularyIntro,"""I have enough.""",
17,18,Female Speaker,Voilà quarante-cinq francs,VocabularyIntro,"Say, ""Here are forty-five francs.""",
17,19,Male Speaker,C'est trop,VocabularyIntro,"Say, ""That's too much.""",
17,20,Male Speaker,C'est trop d'argent,VocabularyIntro,"Say, ""That's too much money.""",
17,21,Male Speaker,Donnez-moi quatre francs,VocabularyIntro,"Say, ""Give me four francs.""",
17,22,Male Speaker,"Maintenant, j'ai quarante-et-un francs",VocabularyIntro,"""Now I have forty-one francs.""",
17,23,Male Speaker,Vingt-et-un,VocabularyIntro,"Say, ""Twenty-one.""",
17,24,Male Speaker,Vingt-trois,VocabularyIntro,"Say, ""Twenty-three.""",
17,25,Male Speaker,Trente-et-un,VocabularyIntro,"Say, ""thirty-one.""",
17,26,Male Speaker,Cinquante-et-un,VocabularyIntro,And now fifty-one.,
17,27,Male Speaker,Cinquante,VocabularyIntro,What's the number fifty in French?,
17,28,Male Speaker,Soixante,VocabularyIntro,Now the number sixty.,
17,29,Male Speaker,Soixante-et-un,VocabularyIntro,"Say, ""Sixty-one.""",
17,30,Male Speaker,Cinquante-sept,VocabularyIntro,"Say, ""Fifty-seven.""",
17,31,Male Speaker,Je vous dois combien?,PromptedRecall,Ask how much you owe.,
17,32,Female Speaker,Vous me devez...,VocabularyIntro,"Say, ""You owe me...""",
17,33,Female Speaker,Vous me devez trente-et-un francs,VocabularyIntro,"Say, ""You owe me thirty-one francs.""",
17,34,Female Speaker,Cinquante-trois francs,VocabularyIntro,"Say, ""Fifty-three francs.""",
17,35,Male Speaker,C'est trop cher,VocabularyIntro,"""That's too expensive.""",
17,36,Female Speaker,Ce n'est pas trop cher,PromptedRecall,"Say, ""It's not too expensive.""",
17,37,Male Speaker,Soixante-et-un francs,VocabularyIntro,"Now you say, ""Sixty-one francs.""",
17,38,Male Speaker,Je vous donne soixante-et-un francs,VocabularyIntro,"Say, ""I'm giving you sixty-one francs.""",
17,39,Female Speaker,"Non, donnez-moi des dollars",VocabularyIntro,"Say, ""No, give me dollars.""",
17,40,Male Speaker,Je n'en ai pas,PromptedRecall,"Say, ""I haven't any.""",
17,41,Female Speaker,"En dollars, ce n'est pas cher",VocabularyIntro,"Say, ""In dollars, it's not expensive.""",
17,42,Male Speaker,"Si, c'est cher",VocabularyIntro,"Say, ""Yes, it's expensive.""",
17,43,Male Speaker,Est-ce que vous comprenez l'anglais?,PromptedRecall,"How do you ask, ""Do you understand English?""",
17,44,Male Speaker,Vous comprenez très bien,VocabularyIntro,"Say, ""You understand very well.""",
17,45,Female Speaker,Je parle français,VocabularyIntro,"Do you remember how to say, ""I speak French""?",
17,46,Male Speaker,Vous parlez français,VocabularyIntro,"Say, ""You speak French.""",
17,47,Male Speaker,Vous parlez trop vite!,VocabularyIntro,"Here's how to say, ""You speak too fast.""",
17,48,Female Speaker,Je ne parle pas vite,PromptedRecall,"Say, ""I don't talk fast.""",
17,49,Male Speaker,"Si, vous parlez très vite",VocabularyIntro,"Say, ""Yes, you speak very fast"".",
17,50,Female Speaker,"En anglais, je ne parle pas vite",VocabularyIntro,"Say, ""In English, I don't talk fast.""",
17,51,Male Speaker,"Mais en français, je ne vous comprends pas",VocabularyIntro,"Say, ""But in French, I don't understand you.""",
17,52,Male Speaker,Quand vous parlez français...,VocabularyIntro,"Try to say, ""When you speak French...""",
17,53,Male Speaker,Vous parlez trop vite pour moi,VocabularyIntro,"Say, ""You talk too fast for me.""",
17,54,Male Speaker,Cher,VocabularyIntro,"Do you remember how to say ""expensive""?",
17,55,Male Speaker,Le vin est trop cher,VocabularyIntro,Tell me the wine is too expensive.,
17,56,Female Speaker,Et vous parlez trop vite,VocabularyIntro,"Say, ""And you speak too fast.""",
17,57,Female Speaker,Merci et ça suffit,VocabularyIntro,"Say, ""Thank you and that's enough.""",
