phrase,teaching_cue,context,speaker_response
Voiture,"Comment dites-vous ""Automobile"" en français?",vocabulary_introduction,Male Speaker
La voiture,Le ou la?,grammar_practice,Male Speaker
Une voiture,,grammar_practice,Male Speaker
Dans la voiture,"Dites, ""In the car.""",vocabulary_introduction,Male Speaker
Dans,,vocabulary_introduction,Male Speaker
Dans la famille,"Dites, ""In the family.""",vocabulary_introduction,Male Speaker
Il y a combien de personnes?,"Demandez, ""There are how many people?""",question,Female Speaker
Dans votre famille?,"""In your family?""",question,Female Speaker
Deux grandes personnes,"Dites, ""Two big people.""",vocabulary_introduction,Male Speaker
Et deux petites personnes,"""And two little people.""",vocabulary_introduction,Male Speaker
Deux enfants,"""Two children.""",vocabulary_introduction,Male Speaker
Un garçon et une fille,"""A boy and a girl.""",vocabulary_introduction,Male Speaker
Vraiment?,"Dites, ""Really?""",vocabulary_introduction,Female Speaker
Notre famille est grande,"Dites, ""Our family is big.""",vocabulary_introduction,Male Speaker
"Où sont les toilettes, s'il vous plaît?",Demandez les toilettes.,question,Male Speaker
Elles sont là-bas,"Dites, ""They're over there.""",vocabulary_introduction,Female Speaker
Essence,"Comment dit-on ""gasoline"" en français?",vocabulary_introduction,Male Speaker
De l'essence,,grammar_practice,Male Speaker
"Vingt litres, s'il vous plaît","Dites, ""Twenty liters, please.""",vocabulary_introduction,Male Speaker
Ça suffit,"Dites, ""It's enough.""",vocabulary_introduction,Female Speaker
Pour soixante kilomètres,"Dites, ""For sixty kilometers.""",vocabulary_introduction,Female Speaker
Ça suffit pour soixante kilomètres,,vocabulary_introduction,Female Speaker
Est-ce que ça suffit?,Demandez-moi si ça suffit.,question,Male Speaker
Ma voiture est trop grande,"Dites, ""My car is too big.""",vocabulary_introduction,Female Speaker
Est-ce que votre voiture est américaine?,Demandez si la voiture est américaine.,question,Male Speaker
"Non, elle est française","Dites, ""No, it's French.""",vocabulary_introduction,Female Speaker
Est-ce qu'il y a de l'essence dans la voiture?,Demandez s'il y a de l'essence dans la voiture.,question,Male Speaker
Mettez dix litres,Écoutez et répétez.,pronunciation_practice,Female Speaker
Mettez,,pronunciation_practice,Female Speaker
Vous mettez,"Comment dit-on ""You put"" en français?",vocabulary_introduction,Female Speaker
Nous mettons,"Comment dit-on ""We put?""",vocabulary_introduction,Female Speaker
Attendez,Écoutez et répétez.,pronunciation_practice,Male Speaker
Vous attendez,"Comment dit-on ""You wait"" en français?",vocabulary_introduction,Male Speaker
Nous attendons,"Comment dit-on ""We wait?""",vocabulary_introduction,Male Speaker
Mettez quinze litres,"Dites, ""Put in fifteen liters.""",vocabulary_introduction,Female Speaker
"Où allez-vous, Mademoiselle?",Demandez à la demoiselle où elle va.,question,Male Speaker
Je vais à Paris,"Comment dit-elle, ""I'm going to Paris?""",vocabulary_introduction,Female Speaker
Je vais à Paris demain,"Comment dit-elle, ""I'm going to Paris tomorrow.""",vocabulary_introduction,Female Speaker
Il y a combien de kilomètres?,"Demandez, ""There are how many kilometers?""",question,Female Speaker
C'est loin,Écoutez et répétez.,pronunciation_practice,Male Speaker
Loin,,pronunciation_practice,Male Speaker
Paris est loin,Dites-moi que Paris est loin.,vocabulary_introduction,Male Speaker
Est-ce que Paris est loin?,Demandez-moi si Paris est loin.,question,Female Speaker
"Attendez, je ne sais pas","Dites, ""Wait, I don't know.""",vocabulary_introduction,Male Speaker
Soixante-dix kilomètres,Écoutez et répétez.,pronunciation_practice,Male Speaker
Soixante-dix,,pronunciation_practice,Male Speaker
Soixante-douze,Dites-le.,vocabulary_introduction,Male Speaker
Soixante-treize,"Dites, ""Seventy-three.""",vocabulary_introduction,Male Speaker
Soixante-quinze,"Dites, ""Seventy-five.""",vocabulary_introduction,Male Speaker
Soixante-et-onze,"Now, remembering that twenty-one, thirty-one and so forth always use the word ""and"" try to say seventy-one.",vocabulary_introduction,Male Speaker
Soixante-quatorze kilomètres,"Dites, ""Seventy-four kilometers.""",vocabulary_introduction,Male Speaker
"Non, soixante-et-onze","Dites, ""No, seventy-one.""",vocabulary_introduction,Male Speaker
C'est trop vite,"Dites, ""It's too fast.""",vocabulary_introduction,Female Speaker
Soixante-quatre,"Et maintenant, dites, ""Sixty-four.""",vocabulary_introduction,Male Speaker
Soixante-cinq et soixante-quinze,"Dites, ""Sixty-five and seventy-five.""",vocabulary_introduction,Male Speaker
Mettez beaucoup d'essence,"Dites, ""Put in a lot of gas.""",vocabulary_introduction,Female Speaker
Il y a soixante-quinze kilomètres,"Dites, ""There are seventy-five kilometers.""",vocabulary_introduction,Female Speaker
C'est quelle route?,Écoutez et répétez.,pronunciation_practice,Female Speaker
Route,,pronunciation_practice,Female Speaker
Quelle route?,,pronunciation_practice,Female Speaker
"C'est quelle route, s'il vous plaît?",Demandez la route.,question,Female Speaker
Quelle est la route?,"Maintenant, dites, ""Which is the route?""",vocabulary_introduction,Female Speaker
Quelle est la route de Paris?,"Demandez, ""Which is the Paris route?""",question,Female Speaker
"Paris, c'est loin","Dites, ""Paris, it's far.""",vocabulary_introduction,Male Speaker
Combien de kilomètres?,"Demandez, ""How many kilometers?""",question,Female Speaker
C'est tout droit,Écoutez et répétez.,pronunciation_practice,Male Speaker
Droit,,pronunciation_practice,Male Speaker
Tout droit,,pronunciation_practice,Male Speaker
Ce n'est pas la route de Paris,"Dites, ""It's not the Paris route.""",vocabulary_introduction,Female Speaker
La route est là-bas,"""The route is over there.""",vocabulary_introduction,Female Speaker
"Oui, c'est la route","Dites, ""Yes, it's the route.""",vocabulary_introduction,Female Speaker
Quelle route?,"Demandez, ""Which route?""",question,Male Speaker
La route de Paris,"Répondre, ""The Paris route.""",vocabulary_introduction,Female Speaker
Combien de litres d'essence voulez-vous?,Demandez combien de litres d'essence il veut.,question,Female Speaker
Pas trop,"Dites, ""Not too much.""",vocabulary_introduction,Male Speaker
Mettez trente litres,"Dites, ""Put in thirty liters.""",vocabulary_introduction,Male Speaker
"Merci, Madame","Dites, ""Thank you, ma'am.""",vocabulary_introduction,Male Speaker
Soixante-dix-huit,Seventy-eight.,vocabulary_introduction,Male Speaker
