phrase,teaching_cue,context,speaker_response
"Bonjour, Monsieur.","Say, ""Good morning, sir.""",greeting,Female Speaker
Au revoir.,"And how do you say, ""Goodbye?""",farewell,Male Speaker
"Au revoir, Madame.","Say, ""Goodbye, ma'am.""",farewell,Male Speaker
Bonjour.,"Say again, ""Hello.""",greeting,Female Speaker
"Bonjour, Monsieur.","Say again, ""Hello.""",greeting,Female Speaker
Comment allez-vous?,How do you ask someone how he is?,question,Female Speaker
"Très bien, merci.","Answer, ""Very well, thanks.""",response,Male Speaker
"Je vais bien, merci.","""I'm well, thanks.""",response,Male Speaker
Pas très bien.,"Now say, ""Not very well.""",response,Male Speaker
Je ne comprends pas le français.,"""I don't understand French.""",negation,Male Speaker
Mais si.,"Say emphatically, ""But yes.""",emphasis,Female Speaker
Vous comprenez très bien.,"""You understand very well.""",affirmation,Female Speaker
Est-ce que vous êtes américain?,"How did she ask, ""Are you American?""",question,Female Speaker
"Oui, Mademoiselle.","Answer, ""Yes, Miss.""",response,Male Speaker
Est-ce que vous êtes américaine?,Ask the young woman if she is American.,question,Male Speaker
"Est-ce que vous êtes américaine, Mademoiselle?",Ask the young woman if she is American.,question,Male Speaker
Vous n'êtes pas américaine.,"Say to a woman, ""You are not American.""",negation,Male Speaker
Je suis.,"Say, ""I am.""",affirmation,Male Speaker
Je suis américain.,Say that you are American.,affirmation,Male Speaker
"Américain, Américaine.",Practice the distinction between masculine and feminine.,grammar,Male Speaker
Est-ce que vous êtes français?,Ask me if I am French.,question,Male Speaker
Je ne suis pas américain.,"Now say, ""I'm not American.""",negation,Male Speaker
Vous n'êtes pas français.,"Say to a man, ""You are not French.""",negation,Female Speaker
Est-ce que vous êtes française?,Ask the young woman if she is French.,question,Male Speaker
Est-ce que vous comprenez l'anglais?,Ask her if she understands English.,question,Male Speaker
"Non, Monsieur.","Answer, ""No, sir.""",response,Female Speaker
Je ne comprends pas l'anglais.,How does she tell you she doesn't understand English?,negation,Female Speaker
Vous comprenez.,"How do you say, ""You understand?""",question,Male Speaker
Vous parlez.,"Here's how to say, ""You speak."" Listen and repeat.",vocabulary_introduction,Male Speaker
Parlez.,"Here's how to say, ""You speak."" Listen and repeat.",vocabulary_introduction,Male Speaker
Vous parlez bien.,"""You speak well.""",affirmation,Male Speaker
Je parle.,"Try to say, ""I speak.""",affirmation,Male Speaker
Parle.,"Try to say, ""I speak.""",affirmation,Male Speaker
Je parle un peu.,"Try to say, ""I speak a little.""",affirmation,Male Speaker
Mais.,"""But.""",conjunction,Male Speaker
Je ne comprends pas.,"Say, ""I don't understand.""",negation,Male Speaker
Mais je ne parle pas.,"Try to say, ""But I don't speak.""",negation,Male Speaker
Je ne parle pas bien.,"""I don't speak well.""",negation,Male Speaker
Si.,"Answer emphatically, ""Yes.""",emphasis,Female Speaker
Je comprends un peu.,"""I understand a little.""",affirmation,Female Speaker
Et je parle un peu.,"""And I speak a little.""",affirmation,Female Speaker
Pas très bien.,"""Not very well.""",negation,Female Speaker
Je comprends un peu l'anglais.,"""I understand English a little.""",affirmation,Female Speaker
Je ne parle pas bien.,"""I don't speak well.""",negation,Female Speaker
Je comprends le français.,"""I understand French.""",affirmation,Female Speaker
Je ne suis pas français.,"Now, referring to yourself, say, ""I'm not French.""",negation,Male Speaker
Je ne suis pas française.,"Now, referring to yourself, say, ""I'm not French.""",negation,Female Speaker
Et vous?,"Ask, ""And you?""",question,Female Speaker
Mais oui.,"Say, ""But yes.""",emphasis,Male Speaker
S'il vous plaît.,"Say, ""Please.""",politeness,Male Speaker
Jacques.,"""Jacques"" is a common name in French. Practice saying it.",vocabulary_introduction,Male Speaker
