phrase,teaching_cue,context,speaker_response
Comment allez-vous?,"Now, ask me how I am.",question,Male Speaker
Est-ce que vous comprenez le français?,Ask me if I understand French.,question,Male Speaker
Où est la rue Saint-Jacques?,Ask me where Saint-Jacques Street is.,question,Female Speaker
Est-ce que vous savez où est la rue Saint-Jacques?,Do you know where Saint-Jacques Street is?,question,Female Speaker
Savez-vous où est la rue Saint-Jacques?,Do you know where Saint-Jacques Street is?,question,Female Speaker
Pardon?,Excuse me.,vocabulary_introduction,Female Speaker
Dites-moi.,"Say, ""Tell me.""",vocabulary_introduction,Female Speaker
Où est le restaurant Chez Jacques?,"""Where is the restaurant Chez Jacques?""",question,Female Speaker
Je voudrais déjeuner maintenant.,Tell me that you'd like to eat lunch now.,vocabulary_introduction,Male Speaker
Est-ce que vous voudriez aussi déjeuner?,Ask me if I would like to eat lunch too.,question,Male Speaker
"Non, pas moi.","Say, ""No, not me.""",negation,Female Speaker
Je voudrais acheter quelque chose.,"Say, ""I'd like to buy something.""",vocabulary_introduction,Female Speaker
Quand?,"Ask her, ""When?""",question,Male Speaker
Qu'est-ce que vous voudriez acheter?,Ask her what she would like to buy.,question,Male Speaker
Avec qui?,"Ask her, ""With whom?""",question,Male Speaker
Je voudrais acheter du vin.,"How does she say, ""I would like to buy some wine""?",vocabulary_introduction,Female Speaker
Ou de la bière.,"Say, ""Or some beer.""",vocabulary_introduction,Female Speaker
Je voudrais boire quelque chose avec vous.,"Say, ""I'd like to drink something with you.""",vocabulary_introduction,Female Speaker
Mais pas ici.,"Say, ""But not here.""",negation,Male Speaker
"Et pas là-bas, à l'hôtel.","Say, ""And not down there, at the hotel.""",negation,Female Speaker
"Non, pas à l'hôtel.","Say, ""No, not at the hotel.""",negation,Male Speaker
Qu'est-ce que vous voulez faire?,Ask her what she wants to do.,question,Male Speaker
Je voudrais boire quelque chose chez vous.,"How does she say, ""I'd like to drink something at your place""?",vocabulary_introduction,Female Speaker
D'accord?,"Ask, ""Okay?""",question,Female Speaker
"D'accord, mais je voudrais aussi déjeuner.","Say, ""Okay, but I'd like to have lunch too.""",vocabulary_introduction,Male Speaker
À quelle heure?,"Here's how to ask, ""At what time."" Listen and repeat.",question,Female Speaker
"À quelle heure, Monsieur?","Ask me, ""At what time?""",question,Female Speaker
Une heure.,"The answer is ""one o'clock."" Listen and repeat.",vocabulary_introduction,Male Speaker
À une heure.,"And now try to say, ""At one o'clock.""",vocabulary_introduction,Male Speaker
Neuf heures.,"Listen for this change as you learn to say, ""Nine o'clock."" Listen and repeat.",vocabulary_introduction,Male Speaker
À neuf heures.,"Say, ""At nine o'clock.""",vocabulary_introduction,Male Speaker
Huit.,"Now, listen and repeat the number eight.",vocabulary_introduction,Male Speaker
Huit heures.,"Say, ""Eight o'clock.""",vocabulary_introduction,Male Speaker
À huit heures?,"Ask, ""At eight o'clock?""",question,Male Speaker
"Non, à neuf heures.","Say, ""No, at nine o'clock.""",negation,Male Speaker
Deux.,Do you remember how to say the number two?,vocabulary_introduction,Male Speaker
Deux heures.,"So try to say, ""Two o'clock.""",vocabulary_introduction,Male Speaker
À deux heures.,"Say, ""At two o'clock.""",vocabulary_introduction,Male Speaker
À une heure ou à deux heures?,"Ask, ""At one o'clock or at two o'clock?""",question,Female Speaker
