phrase,teaching_cue,context,speaker_response
Entrez!,"Do you remember how to say ""Come in""?",question,Male Speaker
Enchanté.,"If you're introduced to someone, what do you say?",question,Male Speaker
Un garçon.,"How do you say, ""A boy""?",vocabulary_introduction,Male Speaker
Un grand garçon.,"Say, ""A big boy.""",vocabulary_introduction,Male Speaker
Une grande fille.,"Say, ""A big girl.""",vocabulary_introduction,Male Speaker
Nous avons une grande fille.,"Say, ""We have a big girl.""",vocabulary_introduction,Male Speaker
Nous voulons.,"Say, ""We want.""",vocabulary_introduction,Male Speaker
Nous pouvons.,"Say, ""We can.""",vocabulary_introduction,Male Speaker
Nous pouvons attendre.,"Here's how to say, ""We can wait."" Écoutez et répétez.",vocabulary_introduction,Male Speaker
Est-ce que vous pouvez attendre?,"How do you ask, ""Can you wait?""",question,Male Speaker
Pouvez-vous attendre?,"How do you ask, ""Can you wait?""",question,Male Speaker
Vous pouvez attendre.,"""You can wait.""",vocabulary_introduction,Female Speaker
Nous voulons beaucoup d'enfants.,"Say, ""We want a lot of children.""",vocabulary_introduction,Male Speaker
Nous habitons.,"Say, ""We live.""",vocabulary_introduction,Male Speaker
Ma femme et moi...,"Say, ""My wife and I...""",vocabulary_introduction,Male Speaker
Nous habitons en Amérique.,"""We live in America.""",vocabulary_introduction,Male Speaker
Avec les enfants.,"Say, ""With the children.""",vocabulary_introduction,Male Speaker
Les enfants sont en Amérique.,"Say, ""The children are in America.""",vocabulary_introduction,Male Speaker
Ils sont en Amérique.,"Say, ""They are in America.""",vocabulary_introduction,Male Speaker
Où sont-ils?,"Ask, ""Where are they?""",question,Female Speaker
Les filles sont ici.,"Say, ""The girls are here.""",vocabulary_introduction,Male Speaker
La grande fille est ici.,"Say, ""The big girl is here.""",vocabulary_introduction,Male Speaker
Les grands garçons sont ici.,"Say, ""The big boys are here.""",vocabulary_introduction,Male Speaker
Et la petite fille?,"Ask, ""And the little girl?"" Écoutez et répétez.",question,Female Speaker
Le petit garçon.,"Try to say, ""The little boy.""",vocabulary_introduction,Male Speaker
Le garçon est petit.,"Say, ""The boy is little.""",vocabulary_introduction,Male Speaker
Mon garçon est petit.,"Say, ""My boy is little.""",vocabulary_introduction,Male Speaker
Notre garçon est petit.,"""Our boy is little."" Écoutez et répétez.",vocabulary_introduction,Male Speaker
Notre garçon.,"Say ""Our boy.""",vocabulary_introduction,Male Speaker
Notre garçon n'est pas grand.,"Say, ""Our boy isn't big.""",negation,Male Speaker
Il est petit.,"Say, ""He's little.""",vocabulary_introduction,Male Speaker
Vraiment?,"""Really?"" Écoutez et répétez.",question,Female Speaker
"Oui, vraiment.","Say, ""Yes, really.""",vocabulary_introduction,Male Speaker
Il est vraiment petit.,"Say, ""He is really little.""",vocabulary_introduction,Male Speaker
Où est votre fille?,"Ask, ""Where is your girl?""",question,Female Speaker
Notre grande fille ou notre petite fille?,"Ask, ""Our big girl or our little girl?""",question,Male Speaker
La grande.,"Say, ""The big one.""",vocabulary_introduction,Female Speaker
Pas la petite.,"Say, ""Not the little one.""",negation,Female Speaker
