phrase,teaching_cue,context,speaker_response
Cinquante,Do you recall the number fifty in French?,vocabulary_introduction,Male Speaker
Soixante,How about sixty?,vocabulary_introduction,Male Speaker
Soixante-et-un,Try sixty-one.,vocabulary_introduction,Male Speaker
Ce n'est pas cher,"Say, ""That's not expensive.""",phrase_construction,Male Speaker
"Si, c'est cher","Say, ""Yes, it's expensive.""",phrase_construction,Female Speaker
Vous parlez trop vite,How would you tell someone that he's talking too quickly?,phrase_construction,Male Speaker
Je ne vous comprends pas,Tell him you don't understand him.,phrase_construction,Male Speaker
Est-ce que vous avez assez d'argent?,Ask me if I have enough money.,question,Female Speaker
J'ai quarante-et-un francs,Tell me that you have forty-one francs.,phrase_construction,Female Speaker
C'est trop,"How would you say, ""It's too much""?",phrase_construction,Male Speaker
"Non, mais ça suffit","Say, ""No, but it's enough.""",phrase_construction,Female Speaker
Ce n'est pas trop cher,"Tell me, ""It's not expensive.""",phrase_construction,Female Speaker
"Là-bas, ce n'est pas cher","Say, ""Down there, it's not expensive.""",phrase_construction,Female Speaker
Plus tard,"Do you remember how to say ""Later""?",vocabulary_introduction,Male Speaker
Plus cher,"Now, try to say, ""More expensive.""",vocabulary_introduction,Female Speaker
"Ici, c'est plus cher","Try to say, ""Here, it's more expensive.""",phrase_construction,Female Speaker
Plus vite,"Try to say ""more quickly"" or ""quicker.""",vocabulary_introduction,Female Speaker
Parlez plus vite,"Say, ""Speak more quickly.""",phrase_construction,Female Speaker
"Maintenant, vous parlez trop vite","Say, ""Now, you're speaking too quickly.""",phrase_construction,Female Speaker
Mon mari parle vite,"""My husband speaks quickly.""",phrase_construction,Female Speaker
Mari,"How do you say ""husband""?",vocabulary_introduction,Female Speaker
Mon,"And what is the word meaning ""my""?",vocabulary_introduction,Female Speaker
Ma femme,"""My wife.""",vocabulary_introduction,Male Speaker
Mon mari,"Say ""My husband"".",vocabulary_introduction,Female Speaker
Ma femme est là-bas,"Say, ""My wife is over there.""",phrase_construction,Male Speaker
Ma femme voudrait boire quelque chose,"Say, ""My wife would like to drink something.""",phrase_construction,Male Speaker
