phrase,teaching_cue,context,speaker_response
Bonjour.,"Dites-moi, ""hello"" en français.",vocabulary_introduction,Male Speaker
Comment allez-vous?,Demandez-moi comment je vais.,question,Male Speaker
Je vais bien.,Répondez que vous allez bien.,response,Female Speaker
Est-ce que les magasins sont ouverts?,Demandez-moi si les magasins sont ouverts.,question,Male Speaker
Ils sont fermés.,Répondez qu'ils sont fermés.,response,Male Speaker
Pourquoi?,Demandez pourquoi?,question,Male Speaker
Parce qu'il est tard.,Répondez parce qu'il est tard.,response,Female Speaker
Est-ce que vous allez travailler?,Demandez-moi si je vais travailler.,question,Female Speaker
Je ne crois pas.,Répondez que vous ne croyez pas.,negation,Male Speaker
Vous croyez?,"Dites, ""You believe.""",vocabulary_introduction,Female Speaker
Vous ne croyez pas?,"Dites, ""You don't believe.""",negation,Female Speaker
Je vais à Nice.,Dites que vous allez à Nice.,vocabulary_introduction,Male Speaker
Peut-être.,"Dites, ""Perhaps.""",vocabulary_introduction,Male Speaker
Qu'est-ce que vous allez faire là-bas?,Demandez ce qu'il va faire là-bas.,question,Female Speaker
Je vais voir des amis.,Dites que vous allez voir des amis.,vocabulary_introduction,Male Speaker
Mes amis.,"""My friends.""",vocabulary_introduction,Male Speaker
J'ai quelques amis là-bas.,Dites que vous avez quelques amis là-bas.,vocabulary_introduction,Male Speaker
Je vais les voir.,Dites que vous allez les voir.,vocabulary_introduction,Male Speaker
Vous allez passer combien de jours à Nice?,Demandez combien de jours il va passer à Nice.,question,Female Speaker
Combien de jours allez-vous passer là-bas?,Demandez combien de jours il va passer à Nice.,question,Female Speaker
Je vais passer quelques jours.,"Dites que vous allez passer, ""A few days.""",vocabulary_introduction,Male Speaker
Je vais voir mes amis.,"""I'm going to see my friends.""",vocabulary_introduction,Male Speaker
Quatre-vingts.,"Comment dit-on en français le numéro ""Eighty.""",vocabulary_introduction,Male Speaker
Quatre-vingt-cinq.,"""Eighty-five.""",vocabulary_introduction,Male Speaker
Quatre-vingt-dix.,"Écoutez maintenant comment on dit ""Ninety.""",vocabulary_introduction,Female Speaker
Quatre-vingt-quinze.,"Essayez de dire ""Ninety-five.""",vocabulary_introduction,Male Speaker
