phrase,teaching_cue,context,speaker_response
Quelle heure est-il?,Do you remember how to ask someone what time it is?,question,Male Speaker
"Quelle heure est-il, s'il vous plaît?",Do you remember how to ask someone what time it is?,question,Male Speaker
Est-ce que vous savez?,"Ask, ""Do you know?""",question,Male Speaker
Savez-vous?,"Ask, ""Do you know?""",question,Male Speaker
Je ne sais pas.,"Answer, ""I don't know.""",vocabulary_introduction,French Narrator
"Ah oui, je sais.","""Ah yes, I know.""",vocabulary_introduction,Female Speaker
Il est trois heures.,Tell him it's three o'clock.,vocabulary_introduction,Female Speaker
Il est cinq heures.,Tell him it's five o'clock.,vocabulary_introduction,Female Speaker
Est-ce que vous allez déjeuner maintenant?,Ask him if he's going to have lunch now.,question,Female Speaker
"Non, je vais manger plus tard.","How does he reply, ""No, I'm going to eat later.""",negation,Male Speaker
Je vais.,"How does he reply, ""No, I'm going to eat later.""",vocabulary_introduction,Male Speaker
Je vais manger.,"How does he reply, ""No, I'm going to eat later.""",vocabulary_introduction,Male Speaker
Je vais manger plus tard.,"How does he reply, ""No, I'm going to eat later.""",vocabulary_introduction,Male Speaker
À huit heures.,"He adds, ""At eight o'clock.""",vocabulary_introduction,Male Speaker
Huit.,"""Huit"" and ""une"" begin with somewhat different sounds. Practice the contrast.",pronunciation_practice,Male Speaker
Une.,"""Huit"" and ""une"" begin with somewhat different sounds. Practice the contrast.",pronunciation_practice,Male Speaker
Une heure.,"""Huit"" and ""une"" begin with somewhat different sounds. Practice the contrast.",pronunciation_practice,Male Speaker
Huit heures.,"""Huit"" and ""une"" begin with somewhat different sounds. Practice the contrast.",pronunciation_practice,Male Speaker
Plus.,"""Huit"" and ""une"" begin with somewhat different sounds. Practice the contrast.",pronunciation_practice,Male Speaker
Du.,"""Huit"" and ""une"" begin with somewhat different sounds. Practice the contrast.",pronunciation_practice,Male Speaker
Je vais boire du vin plus tard.,"Say, ""I'm going to drink wine later.""",vocabulary_introduction,Male Speaker
À neuf heures.,"Say, ""At nine o'clock.""",vocabulary_introduction,Male Speaker
À quelle heure?,"Ask, ""At what time?""",question,Female Speaker
Quelle heure est-il maintenant?,Ask her what time it is now.,question,Male Speaker
Il est quatre heures maintenant.,"How do she answer, ""It's four o'clock now.""",vocabulary_introduction,Female Speaker
Je vais déjeuner à deux heures.,"Say, ""I'm going to have lunch at two o'clock.""",vocabulary_introduction,Male Speaker
Est-ce que vous voudriez déjeuner avec moi?,Ask her if she would like to have lunch with you.,question,Male Speaker
Quand?,"How did she ask ""when?""",question,Female Speaker
Où?,"How would she ask ""where?""",question,Female Speaker
Quand? Maintenant?,"Ask, ""When, now?""",question,Female Speaker
"Mais non, pas maintenant.","Answer, ""No, no, not now.""",negation,Male Speaker
Écoutez et répétez.,"Here is how to say, ""At six o'clock.""",instruction,French Narrator
À six heures.,"Here is how to say, ""At six o'clock.""",vocabulary_introduction,Male Speaker
"À six heures, Mademoiselle.","Say, ""At six o'clock, Miss.""",vocabulary_introduction,Male Speaker
Écoutez et répétez.,"Here is how to say ""or at seven o'clock.""",instruction,French Narrator
Ou à sept heures.,"Here is how to say ""or at seven o'clock.""",vocabulary_introduction,Male Speaker
À sept heures.,"Say, ""At seven o'clock.""",vocabulary_introduction,Male Speaker
À six heures ou à sept heures.,"Say, ""At six o'clock or at seven o'clock.""",vocabulary_introduction,Male Speaker
Pas à six heures.,"Say, ""Not at six o'clock.""",negation,Female Speaker
Plus tard.,"""Later.""",vocabulary_introduction,Female Speaker
Très bien.,"Answer, ""Very well.""",vocabulary_introduction,Male Speaker
Écoutez et répétez.,"""In that case"" or ""then, at seven o'clock.""",instruction,French Narrator
"Alors, à cette heure.","""In that case"" or ""then, at seven o'clock.""",vocabulary_introduction,Male Speaker
Alors.,"What is the French word for ""then"" or ""in that case""?",vocabulary_introduction,Male Speaker
"Alors, à huit heures.","Say, ""Then, at eight o'clock.""",vocabulary_introduction,Male Speaker
Écoutez et répétez.,"Here is how to say ""this evening.""",instruction,French Narrator
Ce soir.,"Here is how to say ""this evening.""",vocabulary_introduction,Male Speaker
