phrase,teaching_cue,context,speaker_response
Déjeuner,"Here's how to say, ""To have lunch."" Listen and repeat.",vocabulary_introduction,Female Speaker
Est-ce que vous voudriez manger maintenant?,How do you ask someone if she would like to eat now?,question,Male Speaker
"Oui, je voudrais déjeuner.","Answer, ""Yes, I'd like to have lunch.""",response,Female Speaker
Je voudrais déjeuner maintenant.,And now listen and repeat the same statement at a rapid conversational speed.,pronunciation_practice,Female Speaker
Où est-ce que vous voudriez déjeuner?,Ask her where she'd like to have lunch.,question,Male Speaker
Au restaurant?,"Ask, ""At the restaurant?""",question,Male Speaker
"Non, chez vous.","Answer, ""No, at your place.""",response,Female Speaker
Moi aussi.,"Say, ""Me too.""",response,Male Speaker
Mais plus tard.,"Say, ""But later.""",response,Male Speaker
Est-ce que vous voudriez boire quelque chose maintenant?,Ask her if she would like to drink something now.,question,Male Speaker
Qu'est-ce que vous voudriez boire?,Now ask her what she would like to drink.,question,Male Speaker
"Deux bières, s'il vous plaît.",He orders two beers. Listen and repeat.,vocabulary_introduction,Male Speaker
Deux.,"What is the word for ""two""?",vocabulary_introduction,Male Speaker
"Deux bières, s'il vous plaît, Mademoiselle.","Say, ""Two beers, please.""",vocabulary_introduction,Male Speaker
ou.,"The word ""or"" in French is ""ou."" Practice saying this.",vocabulary_introduction,Male Speaker
Est-ce que vous voudriez de la bière?,"Now ask, ""Would you like some beer?""",question,Male Speaker
Ou du vin?,"Say, ""Or wine.""",vocabulary_introduction,Male Speaker
Du vin.,"Say, ""Some wine.""",vocabulary_introduction,Male Speaker
D'accord.,"Say, ""Okay.""",response,Female Speaker
Je voudrais boire du vin.,"Say, ""I'd like to drink some wine.""",response,Female Speaker
Je veux.,"Say, ""I want.""",response,Male Speaker
Je ne veux pas.,"Say, ""I don't want.""",negation,Female Speaker
Je voudrais.,"Now how do you say, ""I would like""?",vocabulary_introduction,Male Speaker
Je voudrais boire du vin.,"""I would like to drink some wine.""",response,Male Speaker
"Non, merci.","Say, ""No, thank you.""",response,Female Speaker
Je voudrais boire de la bière.,"Say, ""I'd like to drink some beer.""",response,Female Speaker
Qu'est-ce que vous voudriez manger?,Ask the young woman what she would like to eat.,question,Male Speaker
Qu'est-ce que vous voulez faire?,"Now listen and repeat the question, ""What do you want to do?""",question,Male Speaker
Faire.,"What's the word ""to do"" in french?",vocabulary_introduction,Male Speaker
Qu'est-ce que vous voudriez faire?,Now ask me what I would like to do.,question,Male Speaker
Je voudrais boire quelque chose.,"Answer, ""I'd like to drink something.""",response,Female Speaker
À l'hôtel.,"Here's how to say, ""At the hotel."" Listen and repeat.",vocabulary_introduction,Female Speaker
Où?,"Ask, ""Where?""",question,Male Speaker
Au restaurant.,"Answer, ""At the restaurant.""",response,Female Speaker
Je voudrais acheter quelque chose.,"Listen and repeat the answer, ""I would like to buy something.""",response,Male Speaker
Acheter.,"How do you say ""to buy"" in French?",vocabulary_introduction,Male Speaker
Qu'est-ce que vous voudriez acheter?,Ask me what I would like to buy?,question,Male Speaker
Je voudrais faire quelque chose.,"Say, ""I would like to do something.""",response,Female Speaker
Avec qui?,"Now listen and repeat the question, ""with whom?""",question,Male Speaker
Qui?,"Now try to ask the question ""Who?"" in french.",question,Male Speaker
Avec vous.,"Now try to say, ""With you.""",response,Male Speaker
Acheter quelque chose?,"Ask, ""To buy something?""",question,Female Speaker
"Non, maintenant, je voudrais manger quelque chose.","Say, ""No, now I would like to eat something.""",response,Male Speaker
Mais avec qui?,"Say, ""But with home.""",question,Female Speaker
"Avec vous, Mademoiselle.","Say, ""With you miss.""",response,Male Speaker
"Bonjour, Mademoiselle.",Begin by saying hello to her.,greeting,Male Speaker
Qu'est-ce que vous voulez faire maintenant?,Ask her what she wants to do now.,question,Male Speaker
"Oui, je veux bien boire quelque chose.",Answer that you would indeed like to drink something.,response,Male Speaker
Est-ce que vous voudriez boire quelque chose avec moi?,Ask her if she would like to drink something with you.,question,Male Speaker
Où? À l'hôtel?,"Ask her, ""Where? At the hotel?""",question,Male Speaker
Où est le restaurant Chez Michel?,Ask her where the Chez Michel restaurant is.,question,Male Speaker
"Oui, je sais.","Tell her, ""Yes, I know.""",response,Male Speaker
C'est rue Saint-Jacques.,"""It's on the ""rue Saint-Jacques.""""",response,Male Speaker
Qu'est-ce que vous voudriez boire? Du vin ou de la bière?,"Now, ask her, ""What would you like to drink, Wine or beer?""",question,Male Speaker
Est-ce que vous voudriez boire aussi de la bière?,Ask her if she would like to drink also some beer.,question,Male Speaker
"Pas maintenant, je voudrais manger plus tard.","Tell her not now, you would like to eat later.",response,Male Speaker
"Je voudrais acheter quelque chose, Mademoiselle.",Tell her you would like to buy something.,response,Male Speaker
Et je voudrais manger avec vous.,"""And I would like to eat with you.""",response,Male Speaker
