phrase,teaching_cue,context,speaker_response
Voilà.,Do you remember the word the postman might use in handing you something?,vocabulary_introduction,Male Speaker
C'est pour vous.,"Say, ""It's for you.""",vocabulary_introduction,Male Speaker
Qu'est-ce que c'est?,Ask what it is.,question,Female Speaker
Je ne sais pas.,"Say, ""I don't know.""",vocabulary_introduction,Male Speaker
Je vous dois combien?,Ask him how much you owe.,question,Female Speaker
Vous me devez dix francs.,"Say, ""You owe me ten francs.""",vocabulary_introduction,Male Speaker
Je n'ai pas de francs.,"Say, ""I have no francs.""",negation,Female Speaker
"En dollars, c'est combien?","Ask, ""In dollars, it's how much?""",question,Female Speaker
Donnez-moi des francs.,"He says, ""Give me francs.""",vocabulary_introduction,Male Speaker
Je n'en ai pas.,Tell him you haven't any.,negation,Female Speaker
Je peux vous donner des dollars.,"Say, ""I can give you dollars.""",vocabulary_introduction,Female Speaker
Je n'en veux pas.,"He says, I don't want any.",negation,Male Speaker
Pas de dollars.,"Say, ""No dollars.""",negation,Female Speaker
"Non, je ne peux pas.","He says, ""No, I can't.""",negation,Male Speaker
Voilà dix-sept dollars.,"Say, ""Here's seventeen dollars.""",vocabulary_introduction,Female Speaker
C'est beaucoup.,"""That's a lot.""",vocabulary_introduction,Male Speaker
C'est beaucoup d'argent.,"Tell me, ""It's a lot of money.""",vocabulary_introduction,Male Speaker
"Dix-huit dollars, c'est beaucoup d'argent.","Say, ""Eighteen dollars, It's a lot of money.""",vocabulary_introduction,Male Speaker
C'est trop.,"He says, ""It's too much.""",vocabulary_introduction,Male Speaker
C'est trop d'argent.,"Try to say, ""It's too much money.""",vocabulary_introduction,Male Speaker
Combien d'argent avez-vous?,Ask me how much money I have.,question,Female Speaker
J'ai vingt dollars.,"""I have twenty dollars.""",vocabulary_introduction,Male Speaker
Vous avez vingt dollars.,"Say, ""You have twenty dollars.""",vocabulary_introduction,Female Speaker
J'ai vingt-cinq dollars.,Tell me you have twenty-five dollars.,vocabulary_introduction,Male Speaker
Vingt-huit.,"Now say, ""The number twenty-eight.""",vocabulary_introduction,Male Speaker
Vous avez trop d'argent.,Tell me that I have too much money.,vocabulary_introduction,Female Speaker
J'ai trente francs.,Tell me you have thirty francs.,vocabulary_introduction,Male Speaker
J'ai trente-neuf francs.,Tell me you have thirty-nine francs.,vocabulary_introduction,Male Speaker
"Non, vingt-neuf.","Say, ""No, twenty-nine.""",negation,Male Speaker
C'est trop?,"Ask, ""Is it too much?""",question,Male Speaker
"Non, mais ça suffit.","""No, but it's enough.""",vocabulary_introduction,Female Speaker
Ça suffit.,"Say, ""it's enough in French.""",vocabulary_introduction,Female Speaker
Ça ne suffit pas.,"Say, ""It's not enough.""",negation,Female Speaker
