lesson_number,position_in_lesson,phrase,teaching_cue,context,speaker_response
5,1,Bonjour.,"Do you remember how to say ""hello"" in French?",vocabulary_introduction,Male Speaker
5,2,Est-ce que vous comprenez l'anglais?,"Ask, ""Do you understand English?""",question,Male Speaker
5,3,Je comprends un peu.,"Answer, ""I understand a little.""",vocabulary_introduction,Female Speaker
5,4,Et je parle un peu.,"""And I speak a little.""",vocabulary_introduction,Female Speaker
5,5,Et vous?,"""And you?""",vocabulary_introduction,Female Speaker
5,6,Est-ce que vous comprenez le français?,"""Do you understand French?""",question,Female Speaker
5,7,"Oui, je comprends bien le français.","Say, ""Yes, I understand French well.""",vocabulary_introduction,Male Speaker
5,8,Mais.,"""But.""",vocabulary_introduction,Male Speaker
5,9,Je ne parle pas bien.,"""I don't speak well.""",negation,Male Speaker
5,10,Comment allez-vous?,How do you ask someone how she's feeling?,question,Male Speaker
5,11,Moi? Très bien.,Listen to the answer and repeat after the speaker.,vocabulary_introduction,Female Speaker
5,12,Et vous?,"Ask, ""And you?""",vocabulary_introduction,Female Speaker
5,13,Moi? Pas très bien.,"Now you say, ""Me? Not very well.""",vocabulary_introduction,Male Speaker
5,14,La rue Saint-Jacques.,Do you remember how to say Saint-Jacques Street in French?,vocabulary_introduction,Male Speaker
5,15,Le boulevard Saint-Michel.,"And now say, ""Saint-Michel Boulevard.""",vocabulary_introduction,Male Speaker
5,16,Où est le boulevard Saint-Michel?,Ask me where the boulevard Saint-Michel is.,question,Male Speaker
5,17,Le boulevard Saint-Michel est ici.,"Say, ""Saint Michael Boulevard is here.""",vocabulary_introduction,Female Speaker
5,18,S'il vous plaît.,"Say, ""Please.""",vocabulary_introduction,Male Speaker
5,19,"Où est la rue Saint-Jacques, s'il vous plaît?",Ask me where Saint-Jacques Street is.,question,Male Speaker
5,20,C'est ici.,"Say, ""It's here.""",vocabulary_introduction,Female Speaker
5,21,La rue Saint-Jacques est ici.,And now say Saint-Jacques Street is here.,vocabulary_introduction,Female Speaker
5,22,Est-ce que c'est ici?,Ask me if it's here.,question,Male Speaker
5,23,"Non, c'est là-bas.","Answer, ""No, it's down there.""",vocabulary_introduction,Female Speaker
5,24,Ce n'est pas là-bas.,"Say, ""It's not down there.""",negation,Male Speaker
5,25,Ce n'est pas ici.,"Now say, ""It's not here.""",negation,Female Speaker
5,26,La rue Saint-Jacques n'est pas ici.,"Say, ""Saint-Jacques Street is not here.""",negation,Female Speaker
5,27,Mais le boulevard Saint-Michel est ici.,"Say, ""But the boulevard Saint-Michel is here.""",vocabulary_introduction,Female Speaker
5,28,Je ne sais pas.,"Listen to the answer, ""I don't know.""",vocabulary_introduction,Female Speaker
5,29,Je sais.,"How would you say, ""I know?""",vocabulary_introduction,Male Speaker
5,30,"Moi, je sais.","Say, ""Me, I know.""",vocabulary_introduction,Male Speaker
