lesson_number,position_in_lesson,utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
4,1,"Pardon, Monsieur, est-ce que vous êtes français?",Female Speaker,ConversationalExchange,,pardon monsieur être vous français
4,2,"Oui, Mademoiselle, je suis français. Et vous?",Male Speaker,ConversationalExchange,,oui mademoiselle je être français et vous
4,3,Je suis américaine.,Female Speaker,ConversationalExchange,,je être américaine
4,4,Mais vous comprenez le français?,Male Speaker,ConversationalExchange,,mais vous comprendre le français
4,5,"Oh, un peu. Je ne comprends pas très bien.",Female Speaker,ConversationalExchange,,oh un peu je ne comprendre pas très bien
4,6,"Mais si, mais si, vous parlez très bien.",Male Speaker,ConversationalExchange,,mais si vous parler très bien
4,7,"Merci, Monsieur.",Female Speaker,SimpleResponse,,merci monsieur
4,8,"Pardon, Monsieur, est-ce que vous êtes français?",Female Speaker,ConversationalExchange,,pardon monsieur être vous français
4,9,"Oui, Mademoiselle, je suis français. Et vous?",Male Speaker,ConversationalExchange,,oui mademoiselle je être français et vous
4,10,Je suis américaine.,Female Speaker,ConversationalExchange,,je être américaine
4,11,Mais vous comprenez le français?,Male Speaker,ConversationalExchange,,mais vous comprendre le français
4,12,"Oh, un peu. Je ne comprends pas très bien.",Female Speaker,ConversationalExchange,,oh un peu je ne comprendre pas très bien
4,13,"Mais si, mais si, vous parlez très bien.",Male Speaker,ConversationalExchange,,mais si vous parler très bien
4,14,"Merci, Monsieur.",Female Speaker,SimpleResponse,,merci monsieur
4,15,Bonjour.,Female Speaker,PromptedRecall,Do you remember how to greet someone in French?,bonjour
4,16,Bonjour.,Female Speaker,DirectRepetition,Do you remember how to greet someone in French?,bonjour
4,17,"Bonjour, Monsieur.",Female Speaker,PromptedRecall,"Say, ""Good morning, sir.""",bonjour monsieur
4,18,Au revoir.,Male Speaker,PromptedRecall,"And how do you say, ""Goodbye?""",au revoir
4,19,Au revoir.,Male Speaker,DirectRepetition,"And how do you say, ""Goodbye?""",au revoir
4,20,"Au revoir, Madame.",Male Speaker,PromptedRecall,"Say, ""Goodbye, ma'am.""",au revoir madame
4,21,"Au revoir, Madame.",Male Speaker,DirectRepetition,"Say, ""Goodbye, ma'am.""",au revoir madame
4,22,Bonjour.,Female Speaker,PromptedRecall,"Say again, ""Hello.""",bonjour
4,23,"Bonjour, Monsieur.",Female Speaker,PromptedRecall,"Say again, ""Hello.""",bonjour monsieur
4,24,Comment allez-vous?,Female Speaker,PromptedRecall,How do you ask someone how he is?,comment aller vous
4,25,Comment allez-vous?,Female Speaker,DirectRepetition,How do you ask someone how he is?,comment aller vous
4,26,"Très bien, merci.",Male Speaker,PromptedRecall,"Answer, ""Very well, thanks.""",très bien merci
4,27,"Je vais bien, merci.",Male Speaker,PromptedRecall,"""I'm well, thanks.""",je aller bien merci
4,28,"Je vais bien, merci.",Male Speaker,DirectRepetition,"""I'm well, thanks.""",je aller bien merci
4,29,Pas très bien.,Male Speaker,PromptedRecall,"Now say, ""Not very well.""",pas très bien
4,30,Comment allez-vous?,Female Speaker,PromptedRecall,"Ask again, ""How are you?""",comment aller vous
4,31,Je ne vais pas bien.,Male Speaker,PromptedRecall,"Try to say, ""I'm not well.""",je ne aller pas bien
4,32,Je ne vais pas bien.,Male Speaker,DirectRepetition,"Try to say, ""I'm not well.""",je ne aller pas bien
4,33,Je ne comprends pas le français.,Male Speaker,PromptedRecall,"""I don't understand French.""",je ne comprendre pas le français
4,34,Mais si.,Female Speaker,PromptedRecall,"Say emphatically, ""But yes.""",mais si
4,35,Mais si.,Female Speaker,DirectRepetition,"Say emphatically, ""But yes.""",mais si
4,36,Vous comprenez très bien.,Female Speaker,PromptedRecall,"""You understand very well.""",vous comprendre très bien
4,37,Vous comprenez très bien.,Female Speaker,DirectRepetition,"""You understand very well.""",vous comprendre très bien
4,38,Est-ce que vous êtes américain?,Female Speaker,PromptedRecall,"How did she ask, ""Are you American?""",être vous américain
