utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
"Pardon, Monsieur?",Female Speaker,ConversationalExchange,,pardon monsieur
Est-ce que vous comprenez le français?,Female Speaker,ConversationalExchange,,est-ce que vous comprendre le français
Un peu.,Male Speaker,ConversationalExchange,,un peu
Est-ce que vous êtes américain?,Female Speaker,ConversationalExchange,,est-ce que vous être américain
"Oui. Est-ce que vous comprenez l'anglais, Mademoiselle?",Male Speaker,ConversationalExchange,,oui est-ce que vous comprendre l' anglais mademoiselle
"Non, Monsieur, je ne comprends pas l'anglais.",Female Speaker,ConversationalExchange,,non monsieur je ne comprendre pas l' anglais
L'anglais.,Female Speaker,PromptedRecall,"Say the word ""English"" in French.",l' anglais
Le français.,Female Speaker,PromptedRecall,"Say ""French"", meaning the French language.",le français
Le français.,Female Speaker,DirectRepetition,Le français.,le français
Je comprends.,Female Speaker,PromptedRecall,"Say ""I understand.""",je comprendre
Je comprends.,Female Speaker,DirectRepetition,Je comprends.,je comprendre
Je comprends le français.,Female Speaker,PromptedRecall,"And now say ""I understand French.""",je comprendre le français
Je comprends le français.,Female Speaker,DirectRepetition,Je comprends le français.,je comprendre le français
Je comprends le français.,Female Speaker,DirectRepetition,Je comprends le français.,je comprendre le français
Je comprends le français.,Female Speaker,DirectRepetition,Je comprends le français.,je comprendre le français
Prends le.,Female Speaker,DirectRepetition,Prends le.,prendre le
Prends le.,Female Speaker,DirectRepetition,Prends le.,prendre le
Je comprends le français.,Female Speaker,DirectRepetition,Je comprends le français.,je comprendre le français
Je comprends le français.,Female Speaker,DirectRepetition,Je comprends le français.,je comprendre le français
Je comprends le français.,Male Speaker,PromptedRecall,Tell me that you understand French.,je comprendre le français
Un peu.,Male Speaker,PromptedRecall,"""A little"".",un peu
Je comprends un peu le français.,Male Speaker,PromptedRecall,Now tell me that you understand French a little.,je comprendre un peu le français
Je comprends un peu le français.,Male Speaker,DirectRepetition,Je comprends un peu le français.,je comprendre un peu le français
