utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
Mademoiselle.,Male Speaker,ConversationalExchange,,mademoiselle
Mademoiselle.,Male Speaker,ConversationalExchange,,mademoiselle
"Oui, Monsieur.",Female Speaker,SimpleResponse,,oui monsieur
"Où est la rue Saint-Jacques, s'il vous plaît?",Male Speaker,ConversationalExchange,,où être la rue saint-jacques s'il vous plaître
C'est là-bas.,Female Speaker,ConversationalExchange,,ce être là-bas
Et le boulevard Saint-Michel?,Male Speaker,ConversationalExchange,,et le boulevard saint-michel
"C'est ici, Monsieur.",Female Speaker,ConversationalExchange,,ce être ici monsieur
"Mademoiselle, comment allez-vous?",Male Speaker,ConversationalExchange,,mademoiselle comment aller vous
"Moi? Très bien, merci. Au revoir, Monsieur.",Female Speaker,ConversationalExchange,,moi très bien merci au revoir monsieur
Au revoir.,Male Speaker,SimpleResponse,,au revoir
Mademoiselle?,Male Speaker,ConversationalExchange,,mademoiselle
Mademoiselle?,Male Speaker,ConversationalExchange,,mademoiselle
"Oui, Monsieur?",Female Speaker,SimpleResponse,,oui monsieur
"Où est la rue Saint-Jacques, s'il vous plaît?",Male Speaker,ConversationalExchange,,où être la rue saint-jacques s'il vous plaître
C'est là-bas.,Female Speaker,ConversationalExchange,,ce être là-bas
Et le boulevard Saint-Michel?,Male Speaker,ConversationalExchange,,et le boulevard saint-michel
"C'est ici, Monsieur.",Female Speaker,ConversationalExchange,,ce être ici monsieur
"Mademoiselle, comment allez-vous?",Male Speaker,ConversationalExchange,,mademoiselle comment aller vous
"Moi? Très bien, merci. Au revoir, Monsieur.",Female Speaker,ConversationalExchange,,moi très bien merci au revoir monsieur
Au revoir.,Male Speaker,SimpleResponse,,au revoir
Bonjour.,Male Speaker,PromptedRecall,"Do you remember how to say ""hello"" in French?",bonjour
Bonjour.,Male Speaker,DirectRepetition,,bonjour
Est-ce que vous comprenez l'anglais?,Male Speaker,PromptedRecall,"Ask, ""Do you understand English?""",est-ce que vous comprendre l'anglais
Je comprends un peu.,Female Speaker,PromptedRecall,"Answer, ""I understand a little.""",je comprendre un peu
Je comprends un peu.,Female Speaker,DirectRepetition,,je comprendre un peu
Et je parle un peu.,Female Speaker,PromptedRecall,"""And I speak a little.""",et je parler un peu
Et je parle un peu.,Female Speaker,DirectRepetition,,et je parler un peu
Et vous?,Female Speaker,PromptedRecall,"""And you?""",et vous
Est-ce que vous comprenez le français?,Female Speaker,PromptedRecall,"""Do you understand French?""",est-ce que vous comprendre le français
"Oui, je comprends bien le français.",Male Speaker,PromptedRecall,"Say, ""Yes, I understand French well.""",oui je comprendre bien le français
Je comprends bien.,Male Speaker,DirectRepetition,,je comprendre bien
Je comprends bien le français.,Male Speaker,DirectRepetition,,je comprendre bien le français
Mais.,Male Speaker,PromptedRecall,"""But.""",mais
Je ne parle pas bien.,Male Speaker,PromptedRecall,"""I don't speak well.""",je ne parler pas bien
Je ne parle pas bien.,Male Speaker,DirectRepetition,,je ne parler pas bien
Comment allez-vous?,Male Speaker,PromptedRecall,How do you ask someone how she's feeling?,comment aller vous
Comment allez-vous?,Male Speaker,DirectRepetition,,comment aller vous
Moi? Très bien.,Female Speaker,DirectRepetition,Listen to the answer and repeat after the speaker.,moi très bien
Moi? Très bien.,Female Speaker,DirectRepetition,,moi très bien
Et vous?,Female Speaker,PromptedRecall,"Ask, ""And you?""",et vous
Moi? Pas très bien.,Male Speaker,PromptedRecall,"Now you say, ""Me? Not very well.""",moi pas très bien
Moi? Pas très bien.,Male Speaker,DirectRepetition,,moi pas très bien
La rue Saint-Jacques.,Male Speaker,PromptedRecall,Do you remember how to say Saint-Jacques Street in French?,la rue saint-jacques
La rue Saint-Jacques.,Male Speaker,DirectRepetition,,la rue saint-jacques
Le boulevard Saint-Michel.,Male Speaker,PromptedRecall,"And now say, ""Saint-Michel Boulevard.""",le boulevard saint-michel
Boulevard.,Male Speaker,DirectRepetition,,boulevard
Le boulevard Saint-Michel.,Male Speaker,DirectRepetition,,le boulevard saint-michel
