utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
"Bonjour, Jacqueline.",Male Speaker,ConversationalExchange,,bonjour jacqueline
"Bonjour, Michel. Comment allez-vous?",Female Speaker,ConversationalExchange,,bonjour michel comment aller vous
"Bien merci, mais je voudrais manger quelque chose et vous?",Male Speaker,ConversationalExchange,,bien merci mais je vouloir manger quelque chose et vous
"Oui, moi aussi, je voudrais manger quelque chose.",Female Speaker,ConversationalExchange,,oui moi aussi je vouloir manger quelque chose
Et boire?,Male Speaker,ConversationalExchange,,et boire
"Oui, je voudrais boire quelque chose aussi.",Female Speaker,ConversationalExchange,,oui je vouloir boire quelque chose aussi
Où?,Male Speaker,ConversationalExchange,,où
"Rue Saint-Jacques, s'il vous plaît.",Female Speaker,ConversationalExchange,,rue saint-jacques s'il vous plaître
Très bien.,Male Speaker,ConversationalExchange,,très bien
"Bonjour, Jacqueline.",Male Speaker,DirectRepetition,Listen again.,bonjour jacqueline
"Bonjour, Michel. Comment allez-vous?",Female Speaker,DirectRepetition,Listen again.,bonjour michel comment aller vous
"Bien merci, mais je voudrais manger quelque chose et vous?",Male Speaker,DirectRepetition,Listen again.,bien merci mais je vouloir manger quelque chose et vous
"Oui, moi aussi, je voudrais manger quelque chose.",Female Speaker,DirectRepetition,Listen again.,oui moi aussi je vouloir manger quelque chose
Et boire?,Male Speaker,DirectRepetition,Listen again.,et boire
"Oui, je voudrais boire quelque chose aussi.",Female Speaker,DirectRepetition,Listen again.,oui je vouloir boire quelque chose aussi
Où?,Male Speaker,DirectRepetition,Listen again.,où
"Rue Saint-Jacques, s'il vous plaît.",Female Speaker,DirectRepetition,Listen again.,rue saint-jacques s'il vous plaître
Très bien.,Male Speaker,DirectRepetition,Listen again.,très bien
La rue.,Female Speaker,PromptedRecall,Do you remember the word for street in French?,la rue
La rue.,Female Speaker,DirectRepetition,,la rue
La rue Saint-Jacques.,Female Speaker,PromptedRecall,"Say, ""Saint-Jacques Street.""",la rue saint-jacques
Saint-Jacques.,Female Speaker,SimpleResponse,,saint-jacques
Saint-Jacques.,Female Speaker,DirectRepetition,,saint-jacques
Où est la rue Saint-Jacques?,Female Speaker,PromptedRecall,Ask where this street is.,où être la rue saint-jacques
Où est la rue Saint-Jacques?,Female Speaker,DirectRepetition,,où être la rue saint-jacques
C'est ici.,Male Speaker,PromptedRecall,"""It's here.""",ce être ici
La rue Saint-Jacques n'est pas là-bas.,Male Speaker,PromptedRecall,Tell her that Saint-Jacques Street is not down there.,la rue saint-jacques ne être pas là-bas
La rue Saint-Jacques n'est pas là-bas.,Male Speaker,DirectRepetition,,la rue saint-jacques ne être pas là-bas
S'il vous plaît.,Female Speaker,PromptedRecall,"Say, ""Please.""",s'il vous plaître
S'il.,Female Speaker,SimpleResponse,,s'il
S'il.,Female Speaker,DirectRepetition,,s'il
S'il vous plaît.,Female Speaker,DirectRepetition,,s'il vous plaître
Et le boulevard Saint-Michel?,Female Speaker,PromptedRecall,"Ask, ""And the Boulevard Saint-Michel?""",et le boulevard saint-michel
Et le boulevard Saint-Michel?,Female Speaker,DirectRepetition,,et le boulevard saint-michel
C'est là-bas.,Male Speaker,PromptedRecall,"Answer, it's down there.",ce être là-bas
