utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
Voiture.,Male Speaker,PromptedRecall,"Comment dites-vous ""Automobile"" en français?",voiture
La voiture.,Male Speaker,PromptedRecall,Le ou la?,la voiture
Une voiture.,Male Speaker,DirectRepetition,,une voiture
Dans la voiture.,Male Speaker,PromptedRecall,"Dites, ""In the car.""",dans la voiture
Dans.,Male Speaker,SimpleResponse,,dans
Dans la famille.,Male Speaker,PromptedRecall,"Dites, ""In the family.""",dans la famille
Dans la famille.,Male Speaker,DirectRepetition,,dans la famille
Deux grandes personnes.,Male Speaker,PromptedRecall,"Dites, ""Two big people.""",deux grand personne
Et deux petites personnes.,Male Speaker,PromptedRecall,"""And two little people.""",et deux petit personne
Deux enfants.,Male Speaker,PromptedRecall,"""Two children.""",deux enfant
Un garçon et une fille.,Male Speaker,PromptedRecall,"""A boy and a girl.""",un garçon et une fille
Un garçon et une fille.,Male Speaker,DirectRepetition,,un garçon et une fille
"Où sont les toilettes, s'il vous plaît?",Male Speaker,PromptedRecall,Demandez les toilettes.,où être le toilette s'il vous plaire
"Où sont les toilettes, s'il vous plaît?",Male Speaker,DirectRepetition,,où être le toilette s'il vous plaire
Essence.,Male Speaker,PromptedRecall,"Comment dit-on ""gasoline"" en français?",essence
De l'essence.,Male Speaker,DirectRepetition,,de l' essence
"Vingt litres, s'il vous plaît.",Male Speaker,PromptedRecall,"Dites, ""Twenty liters, please.""",vingt litre s'il vous plaire
Est-ce que votre voiture est américaine?,Male Speaker,PromptedRecall,Demandez si la voiture est américaine.,est-ce que votre voiture être américain
Est-ce qu'il y a de l'essence dans la voiture?,Male Speaker,PromptedRecall,Demandez s'il y a de l'essence dans la voiture.,est-ce que il y avoir de l' essence dans la voiture
Est-ce qu'il y a de l'essence dans la voiture?,Male Speaker,DirectRepetition,,est-ce que il y avoir de l' essence dans la voiture
Mettez.,Female Speaker,DirectRepetition,,mettre
Mettez.,Female Speaker,DirectRepetition,,mettre
