lesson_number,position_in_lesson,speaker,text,utterance_type,narrator_cue,core_lemmas
4,1,Female Speaker,"Pardon, Monsieur, est-ce que vous êtes français?",ConversationalExchange,,pardon monsieur être vous français
4,2,Male Speaker,"Oui, Mademoiselle, je suis français. Et vous?",ConversationalExchange,,oui mademoiselle je être français et vous
4,3,Female Speaker,Je suis américaine.,ConversationalExchange,,je être américain
4,4,Male Speaker,Mais vous comprenez le français?,ConversationalExchange,,mais vous comprendre le français
4,5,Female Speaker,"Oh, un peu. Je ne comprends pas très bien.",ConversationalExchange,,oh un peu je ne comprendre pas très bien
4,6,Male Speaker,"Mais si, mais si, vous parlez très bien.",ConversationalExchange,,mais si vous parler très bien
4,7,Female Speaker,"Merci, Monsieur.",SimpleResponse,,merci monsieur
4,8,Female Speaker,"Pardon, Monsieur, est-ce que vous êtes français?",DirectRepetition,Listen and repeat.,pardon monsieur être vous français
4,9,Male Speaker,"Oui, Mademoiselle, je suis français. Et vous?",ConversationalExchange,,oui mademoiselle être français et vous
4,10,Female Speaker,Je suis américaine.,ConversationalExchange,,être américain
4,11,Male Speaker,Mais vous comprenez le français?,ConversationalExchange,,mais vous comprendre le français
4,12,Female Speaker,"Oh, un peu. Je ne comprends pas très bien.",ConversationalExchange,,oh un peu ne comprendre pas très bien
4,13,Male Speaker,"Mais si, mais si, vous parlez très bien.",ConversationalExchange,,mais si vous parler très bien
4,14,Female Speaker,"Merci, Monsieur.",SimpleResponse,,merci monsieur
4,15,Female Speaker,Bonjour.,SimpleResponse,,bonjour
4,16,Female Speaker,Bonjour.,DirectRepetition,Listen and repeat.,bonjour
4,17,Female Speaker,"Bonjour, Monsieur.",ConversationalExchange,,bonjour monsieur
4,18,Male Speaker,Au revoir.,ConversationalExchange,,au_revoir
4,19,Male Speaker,Au revoir.,DirectRepetition,,au_revoir
4,20,Male Speaker,"Au revoir, Madame.",ConversationalExchange,,au_revoir madame
4,21,Male Speaker,"Au revoir, Madame.",DirectRepetition,,au_revoir madame
4,22,Female Speaker,Bonjour.,ConversationalExchange,,bonjour
4,23,Female Speaker,"Bonjour, Monsieur.",ConversationalExchange,,bonjour monsieur
4,24,Female Speaker,Comment allez-vous?,ConversationalExchange,,comment aller vous
4,25,Female Speaker,Comment allez-vous?,ConversationalExchange,,comment aller vous
4,26,Male Speaker,"Très bien, merci.",ConversationalExchange,,très bien merci
4,27,Male Speaker,"Je vais bien, merci.",DirectRepetition,,je aller bien merci
4,28,Male Speaker,"Je vais bien, merci.",PromptedRecall,,je aller bien merci
4,29,Male Speaker,Pas très bien.,PromptedRecall,,pas très bien
4,30,Female Speaker,Comment allez-vous?,ConversationalExchange,,comment aller vous
4,31,Male Speaker,Je ne vais pas bien.,DirectRepetition,,je ne aller pas bien
4,32,Male Speaker,Je ne vais pas bien.,PromptedRecall,,je ne aller pas bien
4,33,Male Speaker,Je ne comprends pas le français.,PromptedRecall,Try saying 'I don't understand French.',je ne comprendre pas le français
4,34,Female Speaker,Mais si.,SimpleResponse,,mais si
4,35,Female Speaker,Mais si.,DirectRepetition,Say 'Mais si.',mais si
4,36,Female Speaker,Vous comprenez très bien.,PromptedRecall,"Now, say 'You understand very well.'",vous comprendre très bien
4,37,Female Speaker,Vous comprenez très bien.,DirectRepetition,Listen and repeat.,vous comprendre très bien
4,38,Female Speaker,Est-ce que vous êtes américain?,PromptedRecall,Ask 'Are you American?',être vous américain
4,39,Female Speaker,Est-ce que vous êtes américain?,DirectRepetition,Listen and repeat.,être vous américain
4,40,Male Speaker,"Oui, Mademoiselle.",SimpleResponse,,oui mademoiselle
4,41,Male Speaker,Est-ce que vous êtes américaine?,PromptedRecall,Ask the woman if she is American.,être américain
4,42,Male Speaker,"Est-ce que vous êtes américaine, Mademoiselle?",PromptedRecall,"Now, ask the young lady if she is American.",être américain mademoiselle
4,43,Male Speaker,Vous n'êtes pas américaine.,DirectRepetition,Say that she is not American.,être américain
4,44,Male Speaker,Je suis.,PromptedRecall,"Now, you answer. Say that you are.",être
4,45,Male Speaker,Je suis américain.,PromptedRecall,"Now, say that you are American.",être américain
4,46,Female Speaker,Je suis américaine.,PromptedRecall,"Now, you are a woman. Say that you are American.",être américain
4,47,Male Speaker,"Américain, Américaine.",DirectRepetition,Listen and repeat.,américain
4,48,Male Speaker,"Américain, Américaine.",DirectRepetition,Again.,américain
4,49,Male Speaker,Est-ce que vous êtes américain?,PromptedRecall,Ask if the listener is American.,être américain
4,50,Male Speaker,Je suis américain.,DirectRepetition,Say 'I am American.',être américain
4,51,Male Speaker,Je suis américain.,PromptedRecall,Repeat 'I am American.',être américain
4,52,Male Speaker,Je ne suis pas américain.,DirectRepetition,Say 'I am not American.',être américain
4,53,Male Speaker,Je ne suis pas américain.,PromptedRecall,Repeat 'I am not American.',être américain
4,54,Female Speaker,Vous n'êtes pas français.,ConversationalExchange,,être français
4,55,Male Speaker,Est-ce que vous êtes française?,PromptedRecall,Ask if the listener is French.,être français
4,56,Male Speaker,"Est-ce que vous êtes française, Mademoiselle?",PromptedRecall,Ask politely if the listener is French.,être français mademoiselle
4,57,Male Speaker,Est-ce que vous comprenez l'anglais?,ConversationalExchange,,être vous comprendre l'anglais
4,58,Female Speaker,"Non, Monsieur.",SimpleResponse,,non monsieur
4,59,Female Speaker,Je ne comprends pas l'anglais.,ConversationalExchange,,je ne comprendre pas l'anglais
4,60,Female Speaker,Je ne comprends pas l'anglais.,DirectRepetition,,je ne comprendre pas l'anglais
4,61,Male Speaker,Vous comprenez.,ConversationalExchange,,vous comprendre
4,62,Male Speaker,Vous parlez.,ConversationalExchange,,vous parler
4,63,Male Speaker,Parlez.,PromptedRecall,,parler
4,64,Male Speaker,Vous parlez.,DirectRepetition,,vous parler
4,65,Male Speaker,Vous comprenez.,DirectRepetition,,vous comprendre
4,66,Male Speaker,Vous comprenez.,DirectRepetition,,vous comprendre
4,67,Male Speaker,Vous parlez.,DirectRepetition,,vous parler
4,68,Male Speaker,Vous parlez bien.,DirectRepetition,,vous parler bien
4,69,Male Speaker,Vous parlez bien.,DirectRepetition,,vous parler bien
4,70,Male Speaker,Je parle.,DirectRepetition,,je parler
4,71,Male Speaker,Parle.,DirectRepetition,,parler
4,72,Male Speaker,Je parle.,DirectRepetition,,je parler
4,73,Male Speaker,Je parle un peu.,PromptedRecall,"Say, 'I speak a little.'",je parler un peu
4,74,Male Speaker,Mais.,SimpleResponse,,mais
4,75,Male Speaker,Je ne comprends pas.,PromptedRecall,"Say, 'I don't understand.'",je ne comprendre pas
4,76,Male Speaker,Mais je ne parle pas.,PromptedRecall,"Say, 'But I don't speak.'",mais je ne parler pas
4,77,Male Speaker,Je ne parle pas bien.,PromptedRecall,"Say, 'I don't speak well.'",je ne parler pas bien
4,78,Male Speaker,Je ne parle pas bien.,DirectRepetition,Repeat after me: 'Je ne parle pas bien.',je ne parler pas bien
4,79,Female Speaker,Mais si.,ConversationalExchange,,mais si
4,80,Female Speaker,Mais si.,DirectRepetition,Repeat after me: 'Mais si.',mais si
4,81,Male Speaker,Vous ne comprenez pas l'anglais?,ConversationalExchange,,vous ne comprendre pas l'anglais
4,82,Female Speaker,Si.,SimpleResponse,,si
4,83,Female Speaker,Je comprends un peu.,ConversationalExchange,,je comprendre un peu
4,84,Female Speaker,Et je parle un peu.,ConversationalExchange,,et je parler un peu
4,85,Female Speaker,Et je parle un peu.,DirectRepetition,,et je parler un peu
4,86,Female Speaker,Pas très bien.,ConversationalExchange,,pas très bien
4,87,Female Speaker,Je comprends un peu l'anglais.,ConversationalExchange,,je comprendre un peu l'anglais
4,88,Female Speaker,Je ne parle pas bien.,ConversationalExchange,,je ne parler pas bien
4,89,Female Speaker,Je ne parle pas bien.,PromptedRecall,Say 'I don't speak well.',je ne parler pas bien
4,90,Female Speaker,Je comprends le français.,PromptedRecall,Say 'I understand French.',je comprendre le français
4,91,Male Speaker,Je ne suis pas français.,DirectRepetition,Repeat after me: 'Je ne suis pas français.',je ne être pas français
4,92,Male Speaker,Je ne suis pas français.,PromptedRecall,Now you say it yourself: 'Je ne suis pas français.',je ne être pas français
4,93,Female Speaker,Je ne suis pas française.,PromptedRecall,Say 'I am not French.' (feminine form),je ne être pas française
4,94,Female Speaker,Et vous?,ConversationalExchange,,et vous
4,95,Male Speaker,Mais oui.,SimpleResponse,,mais oui
4,96,Male Speaker,Mais oui.,DirectRepetition,Repeat after me: 'Mais oui.',mais oui
4,97,Male Speaker,S'il vous plaît.,DirectRepetition,"Not specified, but likely prompted by the narrator asking to repeat the phrase.",s'il vous plaître
4,98,Male Speaker,S'il vous plaît.,DirectRepetition,"Not specified, but likely prompted by the narrator asking to repeat the phrase again.",s'il vous plaître
4,99,Male Speaker,Où est la rue Saint-Jacques s'il vous plaît?,PromptedRecall,"Not specified, but likely prompted by the narrator asking to form a sentence using the phrase 's'il vous plaît'.",où être la rue Saint-Jacques s'il vous plaître
4,100,Male Speaker,Jacques.,DirectRepetition,"Not specified, but likely prompted by the narrator asking to repeat the word 'Jacques'.",Jacques
4,101,Male Speaker,Jacques.,DirectRepetition,"Not specified, but likely prompted by the narrator asking to repeat the word 'Jacques' again.",Jacques
4,102,Male Speaker,Jacques.,DirectRepetition,"Not specified, but likely prompted by the narrator asking to repeat the word 'Jacques' once more.",Jacques
4,103,Male Speaker,Saint.,DirectRepetition,"Not specified, but likely prompted by the narrator asking to repeat the word 'Saint'.",saint
4,104,Male Speaker,Saint.,DirectRepetition,"Not specified, but likely prompted by the narrator asking to repeat the word 'Saint' again.",saint
4,105,Male Speaker,Saint.,DirectRepetition,Not specified in the given context,saint
4,106,Male Speaker,Saint-Jacques.,DirectRepetition,Not specified in the given context,saint Jacques
4,107,Male Speaker,Saint-Jacques.,DirectRepetition,Not specified in the given context,saint Jacques
4,108,Male Speaker,Saint-Jacques.,DirectRepetition,Not specified in the given context,saint Jacques
4,109,Male Speaker,Michel.,DirectRepetition,Not specified in the given context,Michel
4,110,Male Speaker,Michel.,DirectRepetition,Not specified in the given context,Michel
4,111,Male Speaker,Michel.,DirectRepetition,Not specified in the given context,Michel
4,112,Male Speaker,Saint-Michel.,DirectRepetition,Not specified in the given context,saint Michel
4,113,Male Speaker,Saint-Michel.,DirectRepetition,Listen and repeat.,Saint-Michel
4,114,Male Speaker,Saint-Michel.,DirectRepetition,Repeat after the narrator.,Saint-Michel
4,115,Male Speaker,La rue.,DirectRepetition,Listen and repeat.,la rue
4,116,Male Speaker,Rue.,PromptedRecall,Say 'street' in French.,rue
4,117,Male Speaker,Rue.,DirectRepetition,Repeat after the narrator.,rue
4,118,Male Speaker,Rue.,PromptedRecall,"Once more, say 'street' in French.",rue
4,119,Male Speaker,La rue.,DirectRepetition,Listen and repeat.,la rue
4,120,Male Speaker,La rue.,PromptedRecall,Say 'the street' in French.,la rue
4,121,Male Speaker,La rue.,DirectRepetition,Listen and repeat.,la rue
4,122,Male Speaker,La rue.,DirectRepetition,Listen and repeat.,la rue
4,123,Male Speaker,La rue Saint-Jacques.,DirectRepetition,Listen and repeat.,la rue saint-jacques
4,124,Male Speaker,La rue Saint-Jacques.,DirectRepetition,Listen and repeat.,la rue saint-jacques
4,125,Male Speaker,La rue Saint-Jacques.,DirectRepetition,Listen and repeat.,la rue saint-jacques
4,126,Male Speaker,La rue Saint-Michel.,DirectRepetition,Listen and repeat.,la rue saint-michel
4,127,Male Speaker,La rue Saint-Michel.,DirectRepetition,Listen and repeat.,la rue saint-michel
4,128,Male Speaker,Ou.,SimpleResponse,Say 'or' in French.,ou
4,129,Male Speaker,Ou.,SimpleResponse,,ou
4,130,Male Speaker,Ou.,DirectRepetition,,ou
4,131,Male Speaker,Est.,SimpleResponse,,être
4,132,Male Speaker,Est.,DirectRepetition,,être
4,133,Male Speaker,Est.,PromptedRecall,,être
4,134,Male Speaker,Où est.,SimpleResponse,,où être
4,135,Male Speaker,Où est.,DirectRepetition,,où être
4,136,Male Speaker,Où est la rue?,PromptedRecall,,où être le rue
4,137,Male Speaker,Où est la rue?,PromptedRecall,Ask where Saint-Jacques street is.,où être rue
4,138,Male Speaker,Où est la rue Saint-Jacques?,PromptedRecall,Say 'Where is Saint-Jacques street?',où être rue Saint-Jacques
4,139,Male Speaker,Où est la rue Saint-Jacques?,DirectRepetition,Repeat after me: 'Où est la rue Saint-Jacques?',où être rue Saint-Jacques
4,140,Male Speaker,Sil vous plait.,PromptedRecall,Say 'please'.,s'il vous plaître
4,141,Male Speaker,Le boulevard.,PromptedRecall,Say 'the boulevard'.,le boulevard
4,142,Male Speaker,Boulevard.,PromptedRecall,Now say it without the article.,boulevard
4,143,Male Speaker,Boulevard.,DirectRepetition,Repeat after me: 'Boulevard'.,boulevard
4,144,Male Speaker,Le boulevard.,PromptedRecall,Now say 'the boulevard' again.,le boulevard
4,145,Male Speaker,Le boulevard.,DirectRepetition,,le boulevard
4,146,Male Speaker,Le boulevard.,DirectRepetition,,le boulevard
4,147,Male Speaker,Le boulevard Saint-Michel.,DirectRepetition,,le boulevard saint-michel
4,148,Male Speaker,Le boulevard Saint-Michel.,DirectRepetition,,le boulevard saint-michel
4,149,Male Speaker,Où est le boulevard Saint-Michel?,PromptedRecall,,où être le boulevard saint-michel
4,150,Male Speaker,Où est le boulevard Saint-Michel?,PromptedRecall,,où être le boulevard saint-michel
4,151,Male Speaker,"Où est le boulevard Saint-Michel, s'il vous plait?",PromptedRecall,,où être le boulevard saint-michel s'il vous plait
4,152,Male Speaker,Ici.,SimpleResponse,,ici
4,153,Male Speaker,Ici.,DirectRepetition,Listen and repeat.,ici
4,154,Male Speaker,Ici.,DirectRepetition,Repeat after me.,ici
4,155,Male Speaker,C'est.,DirectRepetition,Listen and repeat.,ce être
4,156,Male Speaker,C'est.,DirectRepetition,Repeat after me.,ce être
4,157,Male Speaker,C'est.,DirectRepetition,Once more.,ce être
4,158,Female Speaker,Est.,DirectRepetition,Listen and repeat.,être
4,159,Female Speaker,Est.,DirectRepetition,Repeat after me.,être
4,160,Female Speaker,Ce.,DirectRepetition,One more time.,ce
4,161,Female Speaker,Ce.,DirectRepetition,Say 'Ce.',ce
4,162,Female Speaker,C'est.,DirectRepetition,Say 'C'est.',ce être
4,163,Female Speaker,C'est.,DirectRepetition,Say 'C'est.',ce être
4,164,Female Speaker,Ici.,DirectRepetition,Say 'Ici.',ici
4,165,Female Speaker,C'est ici.,DirectRepetition,Say 'C'est ici.',ce être ici
4,166,Male Speaker,Où est le boulevard Saint-Michel?,PromptedRecall,Ask 'Where is Saint-Michel Boulevard?',où être le boulevard Saint-Michel
4,167,Male Speaker,Où est le boulevard Saint-Michel?,DirectRepetition,Repeat 'Où est le boulevard Saint-Michel?',où être le boulevard Saint-Michel
4,168,Male Speaker,Où est la rue Saint-Jacques?,PromptedRecall,Ask 'Where is Saint-Jacques Street?',où être la rue Saint-Jacques
4,169,Male Speaker,Où est la rue Saint-Jacques?,PromptedRecall,Ask where Saint-Jacques street is.,où être la rue Saint-Jacques
4,170,Male Speaker,"Où est la rue Saint-Jacques, s'il vous plait?",PromptedRecall,Ask politely where Saint-Jacques street is.,où être la rue Saint-Jacques s'il vous plait
4,171,Female Speaker,"C'est ici, Monsieur.",DirectRepetition,Listen and repeat.,ce être ici Monsieur
4,172,Female Speaker,"C'est ici, Monsieur.",DirectRepetition,Listen and repeat.,ce être ici Monsieur
4,173,Male Speaker,Est-ce que c'est ici?,PromptedRecall,Ask if it is here.,est-ce que ce être ici
4,174,Male Speaker,Est-ce que c'est ici?,DirectRepetition,Listen and repeat.,est-ce que ce être ici
4,175,Female Speaker,"Oui, c'est ici.",ConversationalExchange,,oui ce être ici
4,176,Male Speaker,Est-ce que c'est ici?,ConversationalExchange,,est-ce que ce être ici
4,177,Female Speaker,"Non, ce n'est pas ici.",DirectRepetition,Impossible to determine from the given context,non ce ne être pas ici
4,178,Female Speaker,"Non, ce n'est pas ici.",PromptedRecall,Impossible to determine from the given context,non ce ne être pas ici
4,179,Female Speaker,Ce n'est pas ici.,PromptedRecall,Impossible to determine from the given context,ce ne être pas ici
4,180,Female Speaker,C'est là-bas.,PromptedRecall,Impossible to determine from the given context,ce être là-bas
4,181,Female Speaker,Là-bas.,SimpleResponse,Impossible to determine from the given context,là-bas
4,182,Female Speaker,Là-bas.,DirectRepetition,Impossible to determine from the given context,là-bas
4,183,Female Speaker,C'est là-bas.,PromptedRecall,Impossible to determine from the given context,ce être là-bas
4,184,Male Speaker,C'est là-bas.,DirectRepetition,Impossible to determine from the given context,ce être là-bas
4,185,Male Speaker,C'est ici.,DirectRepetition,Listen and repeat.,ce être ici
4,186,Male Speaker,Ce n'est pas là-bas.,DirectRepetition,Listen and repeat.,ce ne être pas là-bas
4,187,Male Speaker,Est-ce que c'est ici?,DirectRepetition,Listen and repeat.,est-ce que ce être ici
4,188,Male Speaker,Est-ce que c'est ici?,PromptedRecall,Ask if it is here.,est-ce que ce être ici
4,189,Female Speaker,"Oui, c'est ici, Monsieur.",ConversationalExchange,,oui ce être ici monsieur
4,190,Female Speaker,Le boulevard Saint-Michel est ici.,DirectRepetition,Listen and repeat.,le boulevard Saint-Michel être ici
4,191,Female Speaker,Le boulevard Saint-Michel est ici.,PromptedRecall,Say that the boulevard Saint-Michel is here.,le boulevard Saint-Michel être ici
4,192,Male Speaker,Où est la rue Saint-Jacques?,PromptedRecall,Ask where Saint-Jacques street is.,où être la rue Saint-Jacques
4,193,Male Speaker,"Où est la rue Saint-Jacques, s'il vous plaît?",PromptedRecall,Ask where Saint-Jacques street is.,où être la rue Saint-Jacques s'il vous plaît
4,194,Male Speaker,Est-ce que c'est ici?,PromptedRecall,Ask if it is here.,être ici
4,195,Female Speaker,"Non, Monsieur.",SimpleResponse,,non monsieur
4,196,Female Speaker,Ce n'est pas ici.,ConversationalExchange,,ce ne pas être ici
4,197,Female Speaker,Ce n'est pas ici.,DirectRepetition,Listen and repeat.,ce ne pas être ici
4,198,Female Speaker,C'est là-bas.,PromptedRecall,Say it is over there.,être là-bas
4,199,Female Speaker,Bonjour.,SimpleResponse,,bonjour
4,200,Male Speaker,"Bonjour, Mademoiselle.",ConversationalExchange,,bonjour mademoiselle
4,201,Female Speaker,Comment allez-vous?,ConversationalExchange,,comment aller vous
4,202,Male Speaker,"Très bien, merci. Et vous?",ConversationalExchange,,très bien merci et vous
4,203,Female Speaker,Très bien. Est-ce que vous êtes américain?,ConversationalExchange,,très bien être vous américain
4,204,Male Speaker,"Oui, Mademoiselle, je suis américain.",ConversationalExchange,,oui mademoiselle je être américain
4,205,Male Speaker,Je suis américain.,DirectRepetition,,je être américain
4,206,Female Speaker,Je suis française. Est-ce que vous comprenez le français?,ConversationalExchange,,je être français comprendre vous français
4,207,Male Speaker,Un peu.,SimpleResponse,,un peu
4,208,Male Speaker,Je comprends un peu le français.,DirectRepetition,,je comprendre un peu français
4,209,Male Speaker,Je comprends un peu le français.,PromptedRecall,"(No specific cue provided, but likely responding to a prompt to describe language ability)",comprendre un peu le français
4,210,Male Speaker,Je parle un peu.,PromptedRecall,"(No specific cue provided, but likely responding to a prompt to describe speaking ability)",parler un peu
