lesson_number,position_in_lesson,speaker,text,utterance_type,narrator_cue,core_lemmas
3,1,Female Speaker,"Bonjour, Monsieur. Comment allez-vous?",ConversationalExchange,,bonjour monsieur comment aller vous
3,2,Male Speaker,"Bien, Madame. Merci.",ConversationalExchange,,bien madame merci
3,3,Female Speaker,"Ah, vous comprenez le français?",ConversationalExchange,,ah vous comprendre le français
3,4,Male Speaker,"Oui, Madame, un peu. Pas très bien.",ConversationalExchange,,oui madame un peu pas très bien
3,5,Female Speaker,"Vous êtes américain, Monsieur?",ConversationalExchange,,vous être américain monsieur
3,6,Male Speaker,Oui.,SimpleResponse,,oui
3,7,Female Speaker,Mais vous comprenez très bien le français.,ConversationalExchange,,mais vous comprendre très bien le français
3,8,Female Speaker,"Bonjour, Monsieur. Comment allez-vous?",DirectRepetition,Listen and repeat,bonjour monsieur comment aller vous
3,9,Male Speaker,"Bien, Madame. Merci.",ConversationalExchange,,bien madame merci
3,10,Female Speaker,"Ah, vous comprenez le français?",ConversationalExchange,,ah vous comprendre le français
3,11,Male Speaker,"Oui, Madame, un peu. Pas très bien.",ConversationalExchange,,oui madame un peu pas très bien
3,12,Female Speaker,"Vous êtes américain, Monsieur?",ConversationalExchange,,vous être américain monsieur
3,13,Male Speaker,Oui.,SimpleResponse,,oui
3,14,Female Speaker,Mais vous comprenez très bien le français.,ConversationalExchange,,mais vous comprendre très bien le français
3,15,Male Speaker,Le français.,DirectRepetition,,le français
3,16,Male Speaker,Le français.,DirectRepetition,,le français
3,17,Male Speaker,Je comprends.,PromptedRecall,Say 'I understand.',je comprendre
3,18,Male Speaker,Je comprends le français.,PromptedRecall,Say 'I understand French.',je comprendre le français
3,19,Male Speaker,Je comprends le français.,DirectRepetition,Repeat after me: 'Je comprends le français.',je comprendre le français
3,20,Male Speaker,Je comprends le français.,DirectRepetition,Once more: 'Je comprends le français.',je comprendre le français
3,21,Male Speaker,Un peu.,PromptedRecall,Say 'A little.',un peu
3,22,Male Speaker,Je comprends un peu.,PromptedRecall,Say 'I understand a little.',je comprendre un peu
3,23,Male Speaker,Je comprends un peu le français.,PromptedRecall,Say 'I understand a little French.',je comprendre un peu le français
3,24,Male Speaker,Je comprends un peu le français.,DirectRepetition,Repeat after me: 'Je comprends un peu le français.',je comprendre un peu le français
3,25,Male Speaker,Je comprends un peu le français.,DirectRepetition,Listen and repeat.,je comprendre un peu le français
3,26,Male Speaker,Je comprends un peu le français.,DirectRepetition,Repeat the phrase again.,je comprendre un peu le français
3,27,Male Speaker,Je ne comprends pas.,DirectRepetition,Now say 'I don't understand.',je ne comprendre pas
3,28,Male Speaker,Je ne comprends pas.,DirectRepetition,Repeat the phrase again.,je ne comprendre pas
3,29,Male Speaker,Pardon.,SimpleResponse,Say 'Pardon.',pardon
3,30,Female Speaker,"Comment allez-vous, Monsieur?",ConversationalExchange,,comment aller vous monsieur
3,31,Female Speaker,Comment allez-vous?,ConversationalExchange,,comment aller vous
3,32,Male Speaker,Vous allez.,PromptedRecall,Respond to the question 'Comment allez-vous?' with 'Vous allez.',vous aller
3,33,Male Speaker,"Très bien, merci.",DirectRepetition,Listen and repeat.,très bien merci
3,34,Male Speaker,"Très bien, merci.",DirectRepetition,Once more.,très bien merci
3,35,Male Speaker,"Merci, Madame.",DirectRepetition,Listen and repeat.,merci madame
3,36,Male Speaker,"Merci, Madame.",DirectRepetition,Once more.,merci madame
3,37,Male Speaker,Je vais bien.,PromptedRecall,How would you say 'I am fine'?,je aller bien
3,38,Male Speaker,Bonjour.,DirectRepetition,Listen and repeat.,bonjour
3,39,Male Speaker,Bonjour.,DirectRepetition,Once more.,bonjour
3,40,Male Speaker,"Bonjour, Madame.",DirectRepetition,Listen and repeat.,bonjour madame
3,41,Male Speaker,"Bonjour, Madame.",ConversationalExchange,,bonjour madame
3,42,Male Speaker,Au revoir.,ConversationalExchange,,au revoir
3,43,Male Speaker,Au revoir.,DirectRepetition,,au revoir
3,44,Male Speaker,"Au revoir, Madame.",ConversationalExchange,,au revoir madame
3,45,Male Speaker,"Au revoir, Madame.",DirectRepetition,,au revoir madame
3,46,Female Speaker,Comment allez-vous?,ConversationalExchange,,comment aller vous
3,47,Male Speaker,Pas très bien.,ConversationalExchange,,pas très bien
3,48,Male Speaker,Pas très bien.,DirectRepetition,,pas très bien
3,49,Male Speaker,Je ne comprends pas le français.,DirectRepetition,,je ne comprendre pas le français
3,50,Male Speaker,Je ne comprends pas le français.,DirectRepetition,,je ne comprendre pas le français
3,51,Female Speaker,Est-ce que vous comprenez le français?,ConversationalExchange,,est-ce que vous comprendre le français
3,52,Female Speaker,Est-ce que vous comprenez le français?,DirectRepetition,,est-ce que vous comprendre le français
3,53,Male Speaker,Je comprends un peu le français.,ConversationalExchange,,je comprendre un peu le français
3,54,Male Speaker,Je comprends un peu le français.,DirectRepetition,,je comprendre un peu le français
3,55,Female Speaker,Est-ce que vous êtes américain?,ConversationalExchange,,est-ce que vous être américain
3,56,Female Speaker,"Est-ce que vous êtes américain, Monsieur?",ConversationalExchange,,est-ce que vous être américain monsieur
3,57,Male Speaker,"Est-ce que vous êtes américaine, Mademoiselle?",ConversationalExchange,,être américain mademoiselle
3,58,Male Speaker,Américaine.,DirectRepetition,,américain
3,59,Male Speaker,Caine.,DirectRepetition,,caine
3,60,Male Speaker,Caine.,DirectRepetition,,caine
3,61,Male Speaker,Américaine.,DirectRepetition,,américain
3,62,Male Speaker,Américaine.,DirectRepetition,,américain
3,63,Male Speaker,"Cain, Caine.",DirectRepetition,,cain caine
3,64,Male Speaker,"Cain, Caine.",DirectRepetition,,cain caine
3,65,Male Speaker,"Cain, Caine.",DirectRepetition,,Cain
3,66,Male Speaker,"Américain, Américaine.",DirectRepetition,,américain
3,67,Male Speaker,"Américain, Américaine.",DirectRepetition,,américain
3,68,Male Speaker,Américain.,PromptedRecall,,américain
3,69,Male Speaker,Américaine.,PromptedRecall,,américain
3,70,Female Speaker,Vous êtes.,PromptedRecall,,vous être
3,71,Male Speaker,Est-ce que vous êtes américaine?,PromptedRecall,,être américain
3,72,Male Speaker,"Est-ce que vous êtes américaine, Mademoiselle?",PromptedRecall,,être américain mademoiselle
3,73,Female Speaker,Est-ce que vous êtes américain?,ConversationalExchange,,être américain
3,74,Female Speaker,"Est-ce que vous êtes américain, Monsieur?",ConversationalExchange,,être américain monsieur
3,75,Male Speaker,"Oui, je suis américain.",SimpleResponse,,oui être américain
3,76,Male Speaker,Je suis.,PromptedRecall,Please say 'I am' in French.,être
3,77,Male Speaker,Suis.,PromptedRecall,Now say 'am',être
3,78,Male Speaker,Suis.,DirectRepetition,Repeat after me: Suis.,être
3,79,Male Speaker,Suis.,DirectRepetition,Again: Suis.,être
3,80,Male Speaker,Suis.,DirectRepetition,Once more: Suis.,être
3,81,Male Speaker,Je.,DirectRepetition,,je
3,82,Male Speaker,Je.,DirectRepetition,,je
3,83,Male Speaker,Je suis.,DirectRepetition,,je être
3,84,Male Speaker,Je suis.,DirectRepetition,,je être
3,85,Male Speaker,Je suis.,DirectRepetition,,je être
3,86,Male Speaker,Je suis.,DirectRepetition,,je être
3,87,Male Speaker,Je suis américain.,DirectRepetition,,je être américain
3,88,Male Speaker,Je suis américain.,DirectRepetition,,je être américain
3,89,Male Speaker,Je suis.,DirectRepetition,Listen and repeat.,je être
3,90,Female Speaker,Vous êtes.,DirectRepetition,Listen and repeat.,vous être
3,91,Male Speaker,Je suis américain.,DirectRepetition,Listen and repeat.,je être américain
3,92,Female Speaker,Je suis américaine.,DirectRepetition,Listen and repeat.,je être américain
3,93,Female Speaker,Je suis américaine.,PromptedRecall,Say 'I am American' (feminine).,je être américain
3,94,Male Speaker,Je suis français.,PromptedRecall,Say 'I am French' (masculine).,je être français
3,95,Male Speaker,Suis.,SimpleResponse,Say 'am' in French.,être
3,96,Male Speaker,Je suis.,PromptedRecall,Say 'I am' in French.,je être
3,97,Male Speaker,Je suis français.,DirectRepetition,Say 'I am French.',être français
3,98,Female Speaker,Je suis française.,DirectRepetition,Say 'I am French.' (female),être français
3,99,Female Speaker,française.,PromptedRecall,Say the French word for 'French' when referring to a female.,français
