utterance_text,speaker,utterance_type,narrator_cue,core_lemmas
"Pardon, Monsieur, est-ce que vous êtes français?",Female Speaker,ConversationalExchange,,pardon monsieur être vous français
"Oui, Mademoiselle, je suis français. Et vous?",Male Speaker,ConversationalExchange,,oui mademoiselle je être français et vous
Je suis américaine.,Female Speaker,ConversationalExchange,,je être américaine
Mais vous comprenez le français?,Male Speaker,ConversationalExchange,,mais vous comprendre le français
"Oh, un peu. Je ne comprends pas très bien.",Female Speaker,ConversationalExchange,,oh un peu je ne comprendre pas très bien
"Mais si, mais si, vous parlez très bien.",Male Speaker,ConversationalExchange,,mais si vous parler très bien
"Merci, Monsieur.",Female Speaker,SimpleResponse,,merci monsieur
"Pardon, Monsieur, est-ce que vous êtes français?",Female Speaker,ConversationalExchange,,pardon monsieur être vous français
"Oui, Mademoiselle, je suis français. Et vous?",Male Speaker,ConversationalExchange,,oui mademoiselle je être français et vous
Je suis américaine.,Female Speaker,ConversationalExchange,,je être américaine
Mais vous comprenez le français?,Male Speaker,ConversationalExchange,,mais vous comprendre le français
"Oh, un peu. Je ne comprends pas très bien.",Female Speaker,ConversationalExchange,,oh un peu je ne comprendre pas très bien
"Mais si, mais si, vous parlez très bien.",Male Speaker,ConversationalExchange,,mais si vous parler très bien
"Merci, Monsieur.",Female Speaker,SimpleResponse,,merci monsieur
Bonjour.,Female Speaker,PromptedRecall,Do you remember how to greet someone in French?,bonjour
Bonjour.,Female Speaker,DirectRepetition,Do you remember how to greet someone in French?,bonjour
"Bonjour, Monsieur.",Female Speaker,PromptedRecall,"Say, ""Good morning, sir.""",bonjour monsieur
Au revoir.,Male Speaker,PromptedRecall,"And how do you say, ""Goodbye?""",au revoir
Au revoir.,Male Speaker,DirectRepetition,"And how do you say, ""Goodbye?""",au revoir
"Au revoir, Madame.",Male Speaker,PromptedRecall,"Say, ""Goodbye, ma'am.""",au revoir madame
"Au revoir, Madame.",Male Speaker,DirectRepetition,"Say, ""Goodbye, ma'am.""",au revoir madame
Bonjour.,Female Speaker,PromptedRecall,"Say again, ""Hello.""",bonjour
"Bonjour, Monsieur.",Female Speaker,PromptedRecall,"Say again, ""Hello.""",bonjour monsieur
Comment allez-vous?,Female Speaker,PromptedRecall,How do you ask someone how he is?,comment aller vous
Comment allez-vous?,Female Speaker,DirectRepetition,How do you ask someone how he is?,comment aller vous
"Très bien, merci.",Male Speaker,PromptedRecall,"Answer, ""Very well, thanks.""",très bien merci
"Je vais bien, merci.",Male Speaker,PromptedRecall,"""I'm well, thanks.""",je aller bien merci
"Je vais bien, merci.",Male Speaker,DirectRepetition,"""I'm well, thanks.""",je aller bien merci
Pas très bien.,Male Speaker,PromptedRecall,"Now say, ""Not very well.""",pas très bien
